Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL,"17.942 [10.341,25.544]",0.858,,Phospholipids in Very Large HDL
M-LDL-FC%,"12.594 [3.367,21.820]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,"2.603 [-5.969,11.174]",1.000,,HDL Cholesterol
HDL-CE,"2.140 [-6.408,10.689]",1.000,,Cholesteryl Esters in HDL
His,"1.297 [-6.195,8.789]",1.000,,Histidine
S-HDL-C,"-19.056 [-26.686,-11.426]",0.227,,Cholesterol in Small HDL
S-HDL-P,"-19.520 [-27.127,-11.912]",0.114,,Concentration of Small HDL Particles
S-HDL-CE,"-19.580 [-27.105,-12.056]",0.079,,Cholesteryl Esters in Small HDL
S-HDL-L,"-19.704 [-27.452,-11.956]",0.143,,Total-Lipids in Small HDL
GlycA,"-29.870 [-38.389,-21.351]",1.514e-06,***,Glycoprotein Acetyls
