Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-CE,"0.063 [0.057,0.068]",1.286e-98,***,Cholesteryl Esters in Very Large VLDL
M-VLDL-L,"0.059 [0.053,0.065]",9.090e-87,***,Total-Lipids in Medium VLDL
VLDL-FC,"0.058 [0.052,0.063]",1.137e-83,***,Free Cholesterol in VLDL
SFA%,"0.057 [0.051,0.064]",1.137e-71,***,Saturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE,"0.057 [0.052,0.063]",4.128e-85,***,Cholesteryl Esters in Large VLDL
S-HDL-C,"0.057 [0.052,0.063]",2.923e-85,***,Cholesterol in Small HDL
M-LDL-TG%,"0.057 [0.051,0.063]",1.153e-75,***,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-P,"0.056 [0.050,0.061]",1.975e-79,***,Concentration of VLDL Particles
S-HDL-CE,"0.052 [0.046,0.057]",3.412e-71,***,Cholesteryl Esters in Small HDL
L-VLDL-PL%,"0.051 [0.045,0.056]",5.292e-77,***,Phospholipids to Total-Lipids in Large VLDL percentage
Val,"0.050 [0.044,0.056]",3.170e-56,***,Valine
Glu-lactate,"0.050 [0.044,0.055]",2.603e-56,***,Glucose-lactate
S-LDL-CE%,"0.049 [0.044,0.055]",9.151e-62,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Omega-3,"0.048 [0.042,0.053]",2.725e-53,***,Omega-3 Fatty Acids
M-LDL-CE%,"0.048 [0.042,0.053]",4.707e-57,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Total-BCAA,"0.047 [0.042,0.053]",1.063e-51,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-P,"0.046 [0.040,0.052]",2.565e-53,***,Concentration of Medium VLDL Particles
S-VLDL-PL,"0.046 [0.040,0.052]",7.852e-54,***,Phospholipids in Small VLDL
M-LDL-CE,"0.046 [0.040,0.051]",1.176e-50,***,Cholesteryl Esters in Medium LDL
XL-HDL-TG,"0.045 [0.040,0.051]",1.241e-49,***,Triglycerides in Very Large HDL
Total-L,"0.045 [0.039,0.051]",1.123e-44,***,Total-Lipids in Lipoprotein Particles
Leu,"0.043 [0.038,0.049]",4.540e-42,***,Leucine
M-VLDL-PL,"0.043 [0.037,0.048]",5.298e-45,***,Phospholipids in Medium VLDL
Phosphoglyc,"0.042 [0.036,0.048]",1.337e-36,***,Phosphoglycerides
M-LDL-L,"0.042 [0.036,0.047]",9.667e-42,***,Total-Lipids in Medium LDL
PUFA,"0.041 [0.035,0.047]",1.328e-36,***,Polyunsaturated Fatty Acids
VLDL-C,"0.041 [0.035,0.046]",2.875e-41,***,VLDL Cholesterol
