Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.251 [0.236,0.266]",5.835e-236,***,Creatinine
XL-HDL-PL%,"0.132 [0.117,0.147]",7.740e-60,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,"0.120 [0.109,0.132]",3.766e-87,***,Phospholipids to Total-Lipids in Small LDL percentage
XL-HDL-FC,"0.119 [0.107,0.130]",2.101e-87,***,Free Cholesterol in Very Large HDL
XL-HDL-PL,"0.109 [0.097,0.121]",1.180e-66,***,Phospholipids in Very Large HDL
HDL-size,"0.106 [0.093,0.119]",8.148e-54,***,Average Diameter for HDL Particles
XL-HDL-L,"0.101 [0.089,0.113]",3.363e-56,***,Total-Lipids in Very Large HDL
S-HDL-FC%,"0.094 [0.082,0.106]",5.323e-49,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-P,"0.094 [0.082,0.105]",5.916e-50,***,Concentration of Very Large HDL Particles
L-HDL-FC%,"0.093 [0.077,0.108]",2.933e-27,***,Free Cholesterol to Total-Lipids in Large HDL percentage
SFA%,"0.091 [0.078,0.103]",3.492e-39,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-C,"0.086 [0.074,0.098]",2.762e-40,***,Cholesterol in Very Large HDL
M-LDL-TG%,"0.084 [0.071,0.096]",1.349e-35,***,Triglycerides to Total-Lipids in Medium LDL percentage
Acetate,"0.082 [0.071,0.094]",3.793e-37,***,Acetate
Gln,"0.082 [0.070,0.093]",6.162e-36,***,Glutamine
PUFA/MUFA,"0.081 [0.067,0.094]",5.349e-26,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Gly,"0.079 [0.069,0.090]",5.395e-43,***,Glycine
S-HDL-PL%,"0.077 [0.065,0.089]",2.097e-30,***,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-CE,"0.075 [0.063,0.087]",3.074e-29,***,Cholesteryl Esters in Very Large HDL
L-LDL-TG%,"0.073 [0.060,0.086]",9.678e-24,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG,"0.072 [0.061,0.084]",3.815e-29,***,Triglycerides in Large HDL
XXL-VLDL-TG%,"0.060 [0.049,0.072]",3.816e-21,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,"0.060 [0.046,0.073]",8.058e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG,"0.059 [0.047,0.071]",3.680e-17,***,Triglycerides in Very Large HDL
L-HDL-TG%,"0.058 [0.045,0.072]",3.098e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,"0.058 [0.046,0.070]",2.962e-15,***,Triglycerides to Total-Lipids in Medium HDL percentage
