Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,"0.057 [0.036,0.078]",0.015,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,"0.053 [0.032,0.073]",0.114,,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,"0.051 [0.032,0.070]",0.034,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,"0.043 [0.026,0.060]",0.227,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-PL%,"0.036 [0.022,0.051]",0.290,,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-FC%,"-0.046 [-0.062,-0.029]",0.018,*,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-3%,"-0.050 [-0.067,-0.032]",0.004,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,"-0.051 [-0.068,-0.033]",0.003,**,Docosahexaenoic Acid
L-HDL-PL,"-0.053 [-0.071,-0.035]",9.908e-04,***,Phospholipids in Large HDL
XL-HDL-FC,"-0.053 [-0.069,-0.037]",1.470e-05,***,Free Cholesterol in Very Large HDL
L-HDL-P,"-0.057 [-0.074,-0.039]",2.594e-05,***,Concentration of Large HDL Particles
L-HDL-FC,"-0.057 [-0.074,-0.040]",2.047e-05,***,Free Cholesterol in Large HDL
L-HDL-L,"-0.057 [-0.075,-0.039]",1.568e-04,***,Total-Lipids in Large HDL
XL-HDL-P,"-0.058 [-0.075,-0.042]",8.508e-07,***,Concentration of Very Large HDL Particles
M-HDL-FC%,"-0.058 [-0.078,-0.038]",0.002,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-CE,"-0.059 [-0.077,-0.041]",1.404e-05,***,Cholesteryl Esters in Large HDL
L-HDL-C,"-0.059 [-0.077,-0.041]",1.532e-05,***,Cholesterol in Large HDL
XL-HDL-PL,"-0.060 [-0.076,-0.043]",6.190e-07,***,Phospholipids in Very Large HDL
XL-HDL-C,"-0.060 [-0.077,-0.044]",3.165e-07,***,Cholesterol in Very Large HDL
HDL-size,"-0.060 [-0.078,-0.042]",1.117e-05,***,Average Diameter for HDL Particles
XL-HDL-L,"-0.060 [-0.077,-0.044]",3.974e-07,***,Total-Lipids in Very Large HDL
XL-HDL-CE,"-0.061 [-0.078,-0.044]",2.203e-07,***,Cholesteryl Esters in Very Large HDL
DHA%,"-0.063 [-0.081,-0.044]",5.657e-06,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
