Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.510 [0.463,0.557]",4.020e-95,***,Creatinine
Albumin,"0.404 [0.366,0.442]",1.329e-91,***,Albumin
PUFA/MUFA,"0.367 [0.324,0.410]",2.281e-57,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-CE%,"0.364 [0.321,0.407]",8.888e-56,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,"0.350 [0.307,0.393]",2.710e-52,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,"0.328 [0.284,0.373]",1.812e-41,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC%,"0.326 [0.285,0.367]",3.605e-49,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,"0.321 [0.280,0.361]",6.652e-49,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,"0.317 [0.276,0.359]",6.627e-45,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,"0.309 [0.262,0.357]",1.053e-31,***,Cholesterol to Total-Lipids in Large HDL percentage
IDL-CE%,"0.292 [0.253,0.332]",4.040e-42,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-CE%,"0.282 [0.235,0.330]",3.384e-26,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-FC%,"0.275 [0.227,0.323]",1.980e-23,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-C%,"0.269 [0.231,0.308]",5.400e-38,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC%,"0.269 [0.229,0.309]",1.803e-34,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,"0.267 [0.224,0.311]",6.241e-28,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,"0.259 [0.217,0.301]",4.584e-28,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Citrate,"0.256 [0.218,0.293]",3.772e-36,***,Citrate
L-HDL-C,"0.254 [0.214,0.294]",2.754e-30,***,Cholesterol in Large HDL
M-LDL-FC%,"0.254 [0.212,0.296]",4.354e-27,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE,"0.253 [0.213,0.293]",2.535e-30,***,Cholesteryl Esters in Large HDL
PUFA%,"0.250 [0.207,0.294]",6.915e-24,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE,"0.249 [0.212,0.287]",1.125e-32,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,"0.246 [0.208,0.284]",2.810e-32,***,Cholesterol in Very Large HDL
L-HDL-L,"0.243 [0.203,0.284]",3.680e-26,***,Total-Lipids in Large HDL
S-VLDL-PL%,"0.242 [0.203,0.281]",1.055e-28,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-C%,"0.241 [0.200,0.283]",1.330e-24,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,"0.236 [0.196,0.277]",1.513e-24,***,HDL Cholesterol
M-VLDL-FC%,"0.235 [0.195,0.276]",1.038e-24,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-FC,"0.235 [0.196,0.274]",5.464e-27,***,Free Cholesterol in Large HDL
L-HDL-P,"0.235 [0.196,0.274]",3.622e-27,***,Concentration of Large HDL Particles
