Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,"0.035 [0.028,0.042]",2.382e-17,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,"0.033 [0.026,0.040]",1.524e-14,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,"0.032 [0.025,0.040]",5.109e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,"0.032 [0.025,0.038]",5.493e-16,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,"0.030 [0.023,0.037]",8.282e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,"0.029 [0.021,0.037]",2.768e-08,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,"0.029 [0.021,0.036]",4.634e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG%,"0.027 [0.019,0.034]",2.131e-07,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,"0.026 [0.018,0.033]",1.430e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
Creatinine,"0.025 [0.016,0.033]",0.002,**,Creatinine
Omega-3%,"0.024 [0.017,0.031]",2.964e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,"0.024 [0.017,0.031]",8.030e-06,***,Triglycerides to Total-Lipids in Small LDL percentage
L-VLDL-PL%,"0.024 [0.017,0.030]",1.137e-08,***,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-TG,"0.023 [0.016,0.030]",1.118e-05,***,Triglycerides in Very Small VLDL
M-LDL-TG%,"0.022 [0.015,0.029]",7.759e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,"0.022 [0.016,0.028]",1.614e-07,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG,"0.022 [0.015,0.029]",4.017e-05,***,Triglycerides in Very Large HDL
Omega-3,"0.021 [0.015,0.028]",2.148e-04,***,Omega-3 Fatty Acids
XXL-VLDL-PL,"0.021 [0.014,0.029]",0.004,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,"0.021 [0.014,0.029]",0.002,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"0.021 [0.014,0.028]",0.003,**,Cholesterol in Chylomicrons and Extremely Large VLDL
