Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Lactate,"0.157 [0.152,0.163]",0.000e+00,***,Lactate
M-LDL-CE,"0.124 [0.118,0.129]",0.000e+00,***,Cholesteryl Esters in Medium LDL
M-LDL-L,"0.121 [0.115,0.126]",0.000e+00,***,Total-Lipids in Medium LDL
XL-HDL-C%,"0.120 [0.113,0.126]",6.478e-265,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-C,"0.120 [0.114,0.125]",0.000e+00,***,Cholesterol in Medium LDL
XL-HDL-FC%,"0.119 [0.112,0.126]",3.161e-237,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-CE,"0.118 [0.112,0.123]",0.000e+00,***,Cholesteryl Esters in Small LDL
VLDL-size,"0.117 [0.111,0.123]",2.657e-297,***,Average Diameter for VLDL Particles
M-LDL-PL,"0.116 [0.111,0.122]",0.000e+00,***,Phospholipids in Medium LDL
L-VLDL-FC,"0.115 [0.109,0.120]",0.000e+00,***,Free Cholesterol in Large VLDL
S-LDL-C,"0.112 [0.107,0.118]",0.000e+00,***,Cholesterol in Small LDL
S-LDL-L,"0.112 [0.106,0.118]",0.000e+00,***,Total-Lipids in Small LDL
L-VLDL-L,"0.110 [0.104,0.116]",7.706e-287,***,Total-Lipids in Large VLDL
L-VLDL-P,"0.110 [0.104,0.116]",1.246e-277,***,Concentration of Large VLDL Particles
XL-VLDL-C,"0.110 [0.104,0.115]",2.044e-294,***,Cholesterol in Very Large VLDL
XL-VLDL-CE,"0.109 [0.103,0.115]",1.352e-303,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-PL,"0.109 [0.103,0.115]",1.846e-279,***,Phospholipids in Large VLDL
XL-VLDL-P,"0.109 [0.103,0.115]",9.671e-264,***,Concentration of Very Large VLDL Particles
M-LDL-P,"0.109 [0.103,0.114]",0.000e+00,***,Concentration of Medium LDL Particles
L-VLDL-C,"0.108 [0.103,0.114]",4.268e-296,***,Cholesterol in Large VLDL
XL-VLDL-L,"0.108 [0.102,0.114]",5.516e-262,***,Total-Lipids in Very Large VLDL
