Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,0.89 [0.87-0.92],4.477e-11,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL,0.89 [0.87-0.92],4.215e-12,***,Phospholipids in Very Small VLDL
XL-VLDL-C%,0.89 [0.87-0.92],1.756e-10,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.89 [0.87-0.91],8.006e-17,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
VLDL-P,0.89 [0.87-0.91],5.755e-14,***,Concentration of VLDL Particles
L-LDL-CE%,0.89 [0.87-0.91],1.949e-17,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-LDL-CE%,0.89 [0.87-0.91],3.183e-16,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-C%,0.89 [0.87-0.91],1.901e-17,***,Cholesterol to Total-Lipids in Medium HDL percentage
PUFA/MUFA,0.89 [0.87-0.91],1.470e-16,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,0.89 [0.86-0.91],3.631e-17,***,Degree of Unsaturation
SFA,0.88 [0.86-0.91],2.395e-19,***,Saturated Fatty Acids
Total-FA,0.88 [0.86-0.90],2.598e-20,***,Total-Fatty Acids
VLDL-FC,0.88 [0.86-0.90],1.442e-17,***,Free Cholesterol in VLDL
Albumin,0.88 [0.86-0.90],7.572e-21,***,Albumin
L-HDL-C%,0.88 [0.86-0.90],4.028e-29,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.88 [0.86-0.90],4.811e-34,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-CE,0.88 [0.86-0.90],6.070e-17,***,Cholesteryl Esters in Small VLDL
HDL-size,0.87 [0.85-0.90],1.846e-10,***,Average Diameter for HDL Particles
XL-HDL-PL,0.87 [0.84-0.90],4.145e-09,***,Phospholipids in Very Large HDL
M-VLDL-L,0.87 [0.85-0.89],9.544e-23,***,Total-Lipids in Medium VLDL
L-HDL-FC%,0.87 [0.85-0.89],3.340e-40,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-PL,0.87 [0.85-0.89],2.060e-21,***,Phospholipids in Small VLDL
XS-VLDL-L,0.87 [0.85-0.89],1.497e-21,***,Total-Lipids in Very Small VLDL
Omega-3,0.87 [0.85-0.89],9.554e-21,***,Omega-3 Fatty Acids
XL-HDL-FC,0.87 [0.84-0.90],1.600e-12,***,Free Cholesterol in Very Large HDL
S-LDL-CE%,0.87 [0.85-0.89],1.690e-25,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-C,0.86 [0.84-0.89],2.232e-23,***,Cholesterol in Small VLDL
M-VLDL-C%,0.86 [0.84-0.88],4.549e-37,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-P,0.86 [0.84-0.89],8.256e-23,***,Concentration of Very Small VLDL Particles
S-VLDL-C%,0.86 [0.84-0.88],1.613e-34,***,Cholesterol to Total-Lipids in Small VLDL percentage
