Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-FC,0.88 [0.85-0.91],1.594e-09,***,Free Cholesterol in Small HDL
M-HDL-CE,0.88 [0.85-0.91],3.016e-07,***,Cholesteryl Esters in Medium HDL
L-HDL-P,0.88 [0.84-0.92],0.008,**,Concentration of Large HDL Particles
M-HDL-L,0.88 [0.85-0.91],1.298e-08,***,Total-Lipids in Medium HDL
M-HDL-C,0.88 [0.85-0.91],7.430e-08,***,Cholesterol in Medium HDL
Total-PL,0.87 [0.84-0.90],2.201e-13,***,Total-Phospholipids in Lipoprotein Particles
HDL-PL,0.87 [0.84-0.90],3.463e-09,***,Phospholipids in HDL
HDL-CE,0.87 [0.84-0.90],5.755e-08,***,Cholesteryl Esters in HDL
Phosphoglyc,0.87 [0.84-0.90],3.952e-13,***,Phosphoglycerides
M-HDL-P,0.87 [0.84-0.90],4.267e-09,***,Concentration of Medium HDL Particles
HDL-C,0.87 [0.83-0.90],1.149e-08,***,HDL Cholesterol
HDL-L,0.86 [0.83-0.90],5.520e-10,***,Total-Lipids in HDL
PC,0.86 [0.84-0.89],2.257e-13,***,Phosphatidylcholines
Cholines,0.86 [0.84-0.89],5.467e-14,***,Total-Cholines
M-HDL-FC,0.86 [0.83-0.90],2.034e-09,***,Free Cholesterol in Medium HDL
ApoA1,0.86 [0.83-0.89],5.048e-11,***,Apolipoprotein A1
HDL-P,0.86 [0.83-0.89],2.766e-12,***,Concentration of HDL Particles
HDL-FC,0.86 [0.82-0.89],2.494e-09,***,Free Cholesterol in HDL
Total-P,0.85 [0.83-0.88],4.506e-14,***,Total-Concentration of Lipoprotein Particles
