Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-P,0.95 [0.94-0.96],4.219e-09,***,Concentration of Medium LDL Particles
PUFA,0.95 [0.94-0.96],1.229e-09,***,Polyunsaturated Fatty Acids
Omega-6,0.95 [0.94-0.96],5.105e-10,***,Omega-6 Fatty Acids
PUFA%,0.95 [0.94-0.96],2.537e-11,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Total-P,0.95 [0.93-0.96],7.541e-08,***,Total-Concentration of Lipoprotein Particles
M-HDL-FC%,0.95 [0.93-0.96],4.300e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-CE%,0.95 [0.94-0.96],4.508e-11,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-L,0.95 [0.93-0.96],1.347e-10,***,Total-Lipids in Medium LDL
LDL-P,0.95 [0.93-0.96],1.993e-10,***,Concentration of LDL Particles
Unsaturation,0.95 [0.93-0.96],1.305e-10,***,Degree of Unsaturation
L-LDL-P,0.95 [0.93-0.96],2.200e-10,***,Concentration of Large LDL Particles
M-LDL-PL,0.95 [0.93-0.96],7.229e-11,***,Phospholipids in Medium LDL
ApoB,0.95 [0.93-0.96],1.473e-11,***,Apolipoprotein B
S-LDL-C,0.94 [0.93-0.96],8.119e-12,***,Cholesterol in Small LDL
M-LDL-C,0.94 [0.93-0.96],2.639e-12,***,Cholesterol in Medium LDL
XL-VLDL-CE%,0.94 [0.93-0.96],1.292e-09,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,0.94 [0.93-0.95],1.553e-16,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.94 [0.93-0.96],1.913e-09,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Albumin,0.94 [0.93-0.96],6.077e-13,***,Albumin
XS-VLDL-C,0.94 [0.93-0.96],4.485e-11,***,Cholesterol in Very Small VLDL
LA,0.94 [0.93-0.95],9.874e-14,***,Linoleic Acid
Remnant-C,0.94 [0.93-0.95],7.660e-15,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-CE,0.94 [0.93-0.95],4.944e-15,***,Cholesteryl Esters in LDL
LDL-L,0.94 [0.93-0.95],1.266e-15,***,Total-Lipids in LDL
M-VLDL-C%,0.94 [0.93-0.95],1.134e-17,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,0.94 [0.93-0.95],9.249e-16,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-FC%,0.94 [0.93-0.95],2.799e-17,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Non-HDL-C,0.94 [0.93-0.95],2.923e-17,***,Total-Cholesterol Minus HDL-C
S-VLDL-C%,0.94 [0.93-0.95],2.117e-17,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,0.94 [0.93-0.95],2.054e-17,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-C,0.94 [0.92-0.95],1.466e-15,***,Cholesterol in Medium VLDL
LDL-PL,0.94 [0.92-0.95],1.748e-16,***,Phospholipids in LDL
Total-FC,0.94 [0.92-0.95],6.010e-17,***,Total-Free Cholesterol
LDL-C,0.94 [0.92-0.95],1.053e-17,***,LDL Cholesterol
L-LDL-CE,0.94 [0.92-0.95],2.599e-17,***,Cholesteryl Esters in Large LDL
S-LDL-FC,0.94 [0.92-0.95],8.624e-17,***,Free Cholesterol in Small LDL
XS-VLDL-CE,0.94 [0.92-0.95],1.361e-14,***,Cholesteryl Esters in Very Small VLDL
L-LDL-L,0.94 [0.92-0.95],3.598e-18,***,Total-Lipids in Large LDL
IDL-PL,0.93 [0.92-0.95],2.409e-17,***,Phospholipids in IDL
IDL-P,0.93 [0.92-0.95],2.594e-17,***,Concentration of IDL Particles
L-LDL-C,0.93 [0.92-0.95],8.481e-20,***,Cholesterol in Large LDL
M-LDL-FC,0.93 [0.92-0.95],5.154e-19,***,Free Cholesterol in Medium LDL
Total-C,0.93 [0.92-0.95],2.546e-20,***,Total-Cholesterol
Clinical LDL-C,0.93 [0.92-0.94],5.397e-22,***,Clinical LDL Cholesterol
Total-CE,0.93 [0.92-0.94],2.881e-21,***,Total-Esterified Cholesterol
L-LDL-PL,0.93 [0.92-0.94],1.172e-20,***,Phospholipids in Large LDL
