Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Tyr,120,1.259 [0.794-1.995],1.000,,Tyrosine
S-HDL-CE,360,1.204 [0.990-1.466],1.000,,Cholesteryl Esters in Small HDL
IDL-TG%,635,1.160 [0.997-1.350],1.000,,Triglycerides to Total-Lipids in IDL percentage
HDL-P,547,1.143 [0.945-1.384],1.000,,Concentration of HDL Particles
XXL-VLDL-PL%,261,1.062 [0.851-1.327],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-L,598,0.975 [0.848-1.121],1.000,,Total-Lipids in Very Large HDL
IDL-C%,558,0.860 [0.741-0.999],1.000,,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-FC%,574,0.702 [0.590-0.836],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC,474,0.637 [0.533-0.761],0.159,,Free Cholesterol in Large LDL
XL-VLDL-PL%,398,0.605 [0.489-0.748],0.836,,Phospholipids to Total-Lipids in Very Large VLDL percentage
