Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-TG%,474,1.046 [1.015-1.078],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
XXL-VLDL-L,514,1.008 [0.971-1.047],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-HDL-FC%,609,1.007 [0.977-1.038],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-C,671,1.003 [0.974-1.033],1.000,,Cholesterol in Large HDL
L-VLDL-L,609,1.001 [0.962-1.041],1.000,,Total-Lipids in Large VLDL
XL-HDL-FC,590,0.999 [0.968-1.031],1.000,,Free Cholesterol in Very Large HDL
M-HDL-TG,617,0.979 [0.940-1.019],1.000,,Triglycerides in Medium HDL
LDL-C,476,0.948 [0.911-0.986],1.000,,LDL Cholesterol
M-LDL-PL%,271,0.921 [0.882-0.963],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6,651,0.896 [0.856-0.938],0.570,,Omega-6 Fatty Acids
