Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-P,633,1.031 [0.989-1.075],1.000,,Concentration of Large HDL Particles
S-HDL-PL%,367,1.031 [0.979-1.087],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-TG,690,1.009 [0.963-1.058],1.000,,Triglycerides in Small LDL
S-VLDL-CE,626,1.008 [0.962-1.057],1.000,,Cholesteryl Esters in Small VLDL
L-VLDL-L,609,1.004 [0.952-1.059],1.000,,Total-Lipids in Large VLDL
M-LDL-L,531,1.000 [0.948-1.053],1.000,,Total-Lipids in Medium LDL
S-VLDL-CE%,509,0.997 [0.947-1.050],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-CE,553,0.995 [0.946-1.047],1.000,,Cholesteryl Esters in IDL
HDL-TG,593,0.988 [0.949-1.029],1.000,,Triglycerides in HDL
XL-HDL-FC%,547,0.961 [0.920-1.003],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
