Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.374 [1.213-1.555],0.135,,Concentration of HDL Particles
Total-P,531,1.367 [1.203-1.552],0.356,,Total-Concentration of Lipoprotein Particles
M-HDL-L,576,1.358 [1.211-1.522],0.040,*,Total-Lipids in Medium HDL
M-HDL-P,598,1.323 [1.182-1.480],0.254,,Concentration of Medium HDL Particles
ApoA1,587,1.312 [1.175-1.465],0.329,,Apolipoprotein A1
S-HDL-CE%,367,0.982 [0.895-1.077],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
VLDL-CE,621,0.932 [0.836-1.040],1.000,,Cholesteryl Esters in VLDL
XXL-VLDL-TG,472,0.865 [0.745-1.005],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG%,444,0.848 [0.718-1.001],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-VLDL-PL%,580,0.826 [0.750-0.910],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
