Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-C,410,1.064 [0.981-1.155],1.000,,Cholesterol in Small HDL
XL-VLDL-CE%,485,1.063 [0.980-1.153],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,597,1.020 [0.951-1.094],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-L,573,1.015 [0.954-1.081],1.000,,Total-Lipids in IDL
HDL-P,547,1.014 [0.942-1.092],1.000,,Concentration of HDL Particles
M-HDL-L,576,0.998 [0.932-1.068],1.000,,Total-Lipids in Medium HDL
Omega-3%,215,0.994 [0.952-1.038],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC,612,0.979 [0.929-1.032],1.000,,Free Cholesterol in Very Small VLDL
S-VLDL-P,669,0.948 [0.894-1.006],1.000,,Concentration of Small VLDL Particles
XXL-VLDL-TG%,153,0.908 [0.827-0.997],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
