Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.081 [1.059-1.104],3.601e-08,***,Phospholipids to Total-Lipids in Medium HDL percentage
LA%,226,1.071 [1.046-1.097],0.006,**,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-TG%,637,1.065 [1.047-1.083],8.789e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,632,1.063 [1.043-1.084],1.419e-04,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,677,1.059 [1.041-1.077],1.327e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-FC%,547,1.056 [1.037-1.076],0.001,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,657,1.056 [1.039-1.074],5.271e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,257,1.054 [1.041-1.067],2.030e-12,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-P,581,0.955 [0.941-0.970],0.003,**,Concentration of Very Large HDL Particles
XL-HDL-L,598,0.955 [0.940-0.971],0.009,**,Total-Lipids in Very Large HDL
XL-HDL-FC,590,0.954 [0.938-0.970],0.010,**,Free Cholesterol in Very Large HDL
HDL-size,600,0.953 [0.938-0.968],6.588e-04,***,Average Diameter for HDL Particles
XL-HDL-C,653,0.951 [0.935-0.967],5.276e-04,***,Cholesterol in Very Large HDL
M-HDL-CE%,557,0.951 [0.934-0.968],0.009,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-HDL-CE,664,0.950 [0.934-0.966],2.151e-04,***,Cholesteryl Esters in Very Large HDL
Omega-3%,215,0.947 [0.936-0.959],8.080e-14,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-P,633,0.946 [0.931-0.960],5.559e-07,***,Concentration of Large HDL Particles
L-HDL-FC,638,0.945 [0.930-0.961],2.296e-06,***,Free Cholesterol in Large HDL
XS-VLDL-C%,642,0.945 [0.928-0.963],9.991e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-L,623,0.945 [0.930-0.960],2.472e-07,***,Total-Lipids in Large HDL
L-HDL-PL,598,0.945 [0.930-0.960],6.735e-07,***,Phospholipids in Large HDL
M-VLDL-CE%,597,0.944 [0.925-0.964],0.019,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-FC%,609,0.943 [0.928-0.958],1.645e-07,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,644,0.943 [0.926-0.960],7.711e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,403,0.940 [0.920-0.960],0.003,**,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C,671,0.940 [0.924-0.955],2.750e-08,***,Cholesterol in Large HDL
L-HDL-CE,698,0.939 [0.924-0.955],1.052e-08,***,Cholesteryl Esters in Large HDL
M-HDL-C%,632,0.937 [0.920-0.953],1.255e-07,***,Cholesterol to Total-Lipids in Medium HDL percentage
Omega-3,420,0.936 [0.917-0.956],1.188e-04,***,Omega-3 Fatty Acids
Unsaturation,310,0.934 [0.921-0.947],5.936e-17,***,Degree of Unsaturation
L-HDL-C%,622,0.934 [0.917-0.951],1.269e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
DHA,289,0.933 [0.914-0.952],2.451e-06,***,Docosahexaenoic Acid
L-HDL-CE%,562,0.931 [0.913-0.950],3.303e-07,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
HDL-FC,599,0.931 [0.910-0.952],1.588e-04,***,Free Cholesterol in HDL
HDL-CE,611,0.928 [0.909-0.947],9.165e-08,***,Cholesteryl Esters in HDL
DHA%,240,0.926 [0.909-0.943],2.411e-10,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-C,621,0.925 [0.906-0.945],1.113e-07,***,HDL Cholesterol
HDL-PL,590,0.923 [0.898-0.950],0.005,**,Phospholipids in HDL
PUFA/MUFA,484,0.921 [0.901-0.942],1.490e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-L,598,0.921 [0.896-0.946],3.129e-04,***,Total-Lipids in HDL
M-HDL-FC,597,0.920 [0.894-0.946],0.001,**,Free Cholesterol in Medium HDL
ApoA1,587,0.919 [0.892-0.947],0.007,**,Apolipoprotein A1
Omega-6,651,0.917 [0.889-0.947],0.020,*,Omega-6 Fatty Acids
M-HDL-P,598,0.917 [0.891-0.945],0.003,**,Concentration of Medium HDL Particles
PUFA,699,0.914 [0.889-0.940],6.635e-05,***,Polyunsaturated Fatty Acids
M-HDL-PL,545,0.913 [0.884-0.943],0.011,*,Phospholipids in Medium HDL
M-HDL-L,576,0.913 [0.884-0.942],0.003,**,Total-Lipids in Medium HDL
M-HDL-C,607,0.912 [0.887-0.938],2.667e-05,***,Cholesterol in Medium HDL
M-HDL-CE,607,0.911 [0.886-0.936],4.155e-06,***,Cholesteryl Esters in Medium HDL
PUFA%,371,0.903 [0.879-0.928],3.373e-08,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-P,547,0.903 [0.872-0.934],0.001,**,Concentration of HDL Particles
Total-P,531,0.896 [0.864-0.930],9.449e-04,***,Total-Concentration of Lipoprotein Particles
