Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG%,153,1.010 [0.956-1.068],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-L,502,1.008 [0.971-1.046],1.000,,Total-Lipids in LDL
LDL-P,552,1.006 [0.972-1.042],1.000,,Concentration of LDL Particles
L-VLDL-C%,395,1.005 [0.934-1.082],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-C%,632,1.005 [0.951-1.062],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-P,416,0.997 [0.949-1.047],1.000,,Concentration of Small HDL Particles
L-VLDL-TG%,369,0.987 [0.952-1.023],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
PC,606,0.985 [0.953-1.018],1.000,,Phosphatidylcholines
L-VLDL-P,622,0.962 [0.905-1.022],1.000,,Concentration of Large VLDL Particles
Glu,32,0.823 [0.583-1.162],1.000,,Glucose
