Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.364 [1.268-1.467],1.936e-11,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.203 [1.150-1.259],2.879e-10,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL%,489,1.129 [1.048-1.216],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,657,1.026 [0.972-1.084],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
S-LDL-TG%,594,1.020 [0.960-1.082],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
Omega-3%,215,0.838 [0.801-0.877],3.673e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Total-FC,546,0.838 [0.785-0.894],0.025,*,Total-Free Cholesterol
M-HDL-FC,597,0.837 [0.784-0.894],0.023,*,Free Cholesterol in Medium HDL
M-HDL-CE,607,0.831 [0.776-0.890],0.025,*,Cholesteryl Esters in Medium HDL
Unsaturation,310,0.830 [0.796-0.865],4.375e-13,***,Degree of Unsaturation
PC,606,0.829 [0.780-0.882],6.227e-04,***,Phosphatidylcholines
Total-C,563,0.827 [0.773-0.885],0.008,**,Total-Cholesterol
ApoA1,587,0.827 [0.774-0.883],0.004,**,Apolipoprotein A1
Total-CE,575,0.820 [0.767-0.877],0.002,**,Total-Esterified Cholesterol
M-HDL-P,598,0.818 [0.765-0.875],0.001,**,Concentration of Medium HDL Particles
SM,547,0.816 [0.766-0.869],5.684e-05,***,Sphingomyelins
M-HDL-L,576,0.814 [0.760-0.872],9.378e-04,***,Total-Lipids in Medium HDL
Cholines,620,0.811 [0.761-0.864],2.941e-05,***,Total-Cholines
Omega-3,420,0.810 [0.774-0.847],7.136e-15,***,Omega-3 Fatty Acids
M-HDL-PL,545,0.809 [0.753-0.868],9.914e-04,***,Phospholipids in Medium HDL
DHA%,240,0.801 [0.757-0.847],1.956e-09,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,289,0.801 [0.755-0.849],4.459e-08,***,Docosahexaenoic Acid
Phosphoglyc,609,0.798 [0.750-0.850],6.268e-07,***,Phosphoglycerides
S-HDL-P,416,0.797 [0.736-0.863],0.005,**,Concentration of Small HDL Particles
Total-L,626,0.796 [0.746-0.848],5.329e-07,***,Total-Lipids in Lipoprotein Particles
Total-FA,654,0.790 [0.743-0.839],8.119e-09,***,Total-Fatty Acids
SFA,553,0.786 [0.733-0.843],3.336e-06,***,Saturated Fatty Acids
Omega-6,651,0.786 [0.739-0.835],2.874e-09,***,Omega-6 Fatty Acids
Total-PL,628,0.786 [0.737-0.837],2.113e-08,***,Total-Phospholipids in Lipoprotein Particles
PUFA,699,0.771 [0.730-0.815],3.846e-15,***,Polyunsaturated Fatty Acids
S-HDL-L,442,0.768 [0.710-0.831],9.937e-06,***,Total-Lipids in Small HDL
S-HDL-PL,489,0.765 [0.709-0.826],1.809e-06,***,Phospholipids in Small HDL
HDL-P,547,0.753 [0.699-0.811],2.495e-08,***,Concentration of HDL Particles
S-HDL-FC,483,0.753 [0.695-0.815],4.465e-07,***,Free Cholesterol in Small HDL
Total-P,531,0.739 [0.685-0.798],2.895e-09,***,Total-Concentration of Lipoprotein Particles
