Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-C,607,1.046 [1.011-1.081],1.000,,Cholesterol in Medium HDL
XS-VLDL-TG,678,1.021 [0.994-1.049],1.000,,Triglycerides in Very Small VLDL
M-VLDL-CE%,597,1.015 [0.989-1.041],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-FC,587,1.009 [0.988-1.030],1.000,,Free Cholesterol in IDL
M-VLDL-L,589,1.004 [0.978-1.031],1.000,,Total-Lipids in Medium VLDL
L-VLDL-TG,567,0.992 [0.965-1.020],1.000,,Triglycerides in Large VLDL
M-LDL-CE,550,0.992 [0.972-1.012],1.000,,Cholesteryl Esters in Medium LDL
Ala,85,0.988 [0.923-1.058],1.000,,Alanine
Tyr,120,0.988 [0.924-1.055],1.000,,Tyrosine
3-Hydroxybutyrate,68,0.831 [0.771-0.895],0.269,,3-Hydroxybutyrate
