Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
VLDL-PL,674,0.780 [0.734-0.829],3.403e-10,***,Phospholipids in VLDL
M-VLDL-FC,594,0.780 [0.732-0.831],2.732e-09,***,Free Cholesterol in Medium VLDL
S-VLDL-PL,664,0.778 [0.731-0.828],6.558e-10,***,Phospholipids in Small VLDL
VLDL-L,623,0.777 [0.729-0.827],9.459e-10,***,Total-Lipids in VLDL
XL-VLDL-CE,617,0.773 [0.726-0.823],1.192e-10,***,Cholesteryl Esters in Very Large VLDL
MUFA,654,0.773 [0.724-0.825],1.861e-09,***,Monounsaturated Fatty Acids
VLDL-FC,630,0.772 [0.725-0.822],1.774e-10,***,Free Cholesterol in VLDL
L-VLDL-CE,614,0.769 [0.723-0.819],3.743e-11,***,Cholesteryl Esters in Large VLDL
VLDL-C,644,0.768 [0.721-0.818],3.657e-11,***,VLDL Cholesterol
GlycA,385,0.763 [0.691-0.844],0.029,*,Glycoprotein Acetyls
M-VLDL-PL,632,0.758 [0.712-0.808],3.618e-12,***,Phospholipids in Medium VLDL
M-LDL-CE%,368,0.755 [0.695-0.820],5.774e-06,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-P,612,0.747 [0.700-0.796],7.113e-14,***,Concentration of Medium VLDL Particles
M-VLDL-L,589,0.741 [0.695-0.791],2.371e-14,***,Total-Lipids in Medium VLDL
