Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-C%,632,1.189 [1.127-1.255],6.882e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
PUFA/MUFA,484,1.185 [1.119-1.255],0.002,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-CE,607,1.174 [1.113-1.238],7.105e-04,***,Cholesteryl Esters in Medium HDL
M-HDL-C,607,1.164 [1.105-1.226],0.003,**,Cholesterol in Medium HDL
M-LDL-FC%,651,1.158 [1.096-1.223],0.043,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,557,1.158 [1.098-1.220],0.012,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
HDL-CE,611,1.142 [1.087-1.200],0.034,*,Cholesteryl Esters in HDL
HDL-C,621,1.140 [1.087-1.196],0.021,*,HDL Cholesterol
S-VLDL-CE,626,0.884 [0.844-0.925],0.024,*,Cholesteryl Esters in Small VLDL
S-VLDL-L,665,0.880 [0.839-0.923],0.035,*,Total-Lipids in Small VLDL
S-VLDL-P,669,0.873 [0.833-0.916],0.006,**,Concentration of Small VLDL Particles
S-VLDL-TG,687,0.871 [0.829-0.916],0.012,*,Triglycerides in Small VLDL
S-HDL-TG,681,0.871 [0.829-0.916],0.021,*,Triglycerides in Small HDL
XL-VLDL-CE,617,0.869 [0.825-0.915],0.024,*,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,614,0.869 [0.825-0.914],0.018,*,Cholesteryl Esters in Large VLDL
L-VLDL-PL%,580,0.864 [0.826-0.903],2.621e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
Total-TG,641,0.862 [0.816-0.911],0.031,*,Total-Triglycerides
XXL-VLDL-CE,621,0.862 [0.816-0.910],0.023,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,639,0.859 [0.813-0.907],0.009,**,Cholesterol in Very Large VLDL
L-VLDL-P,622,0.856 [0.810-0.906],0.015,*,Concentration of Large VLDL Particles
XL-VLDL-L,578,0.855 [0.805-0.907],0.047,*,Total-Lipids in Very Large VLDL
S-HDL-TG%,677,0.854 [0.811-0.898],2.125e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL,637,0.853 [0.807-0.901],0.004,**,Phospholipids in Large VLDL
XL-VLDL-P,599,0.853 [0.805-0.904],0.016,*,Concentration of Very Large VLDL Particles
MUFA%,525,0.853 [0.811-0.897],2.197e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,657,0.852 [0.812-0.893],8.272e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,637,0.849 [0.807-0.894],1.301e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-FC,648,0.849 [0.803-0.897],0.001,**,Free Cholesterol in Large VLDL
XL-VLDL-PL,607,0.849 [0.801-0.899],0.005,**,Phospholipids in Very Large VLDL
XL-VLDL-PL%,398,0.848 [0.801-0.898],0.004,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-P,529,0.848 [0.798-0.901],0.024,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-TG%,642,0.847 [0.801-0.896],0.001,**,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-L,514,0.845 [0.795-0.898],0.012,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,610,0.844 [0.798-0.892],6.281e-04,***,Free Cholesterol in Very Large VLDL
XXL-VLDL-PL,556,0.842 [0.793-0.893],0.002,**,Phospholipids in Chylomicrons and Extremely Large VLDL
TG/PG,632,0.828 [0.780-0.878],8.217e-05,***,Triglycerides to Phosphoglycerides ratio
M-LDL-CE%,368,0.818 [0.759-0.880],0.022,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
