Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-P,416,1.140 [1.053-1.234],1.000,,Concentration of Small HDL Particles
Omega-3,420,1.064 [1.014-1.116],1.000,,Omega-3 Fatty Acids
M-LDL-CE,550,1.038 [0.969-1.112],1.000,,Cholesteryl Esters in Medium LDL
M-VLDL-CE,487,1.033 [0.962-1.109],1.000,,Cholesteryl Esters in Medium VLDL
VLDL-TG,582,1.001 [0.933-1.074],1.000,,Triglycerides in VLDL
XXL-VLDL-P,529,0.996 [0.928-1.069],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-P,599,0.982 [0.918-1.049],1.000,,Concentration of Very Large VLDL Particles
L-VLDL-C%,395,0.959 [0.894-1.028],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,257,0.951 [0.907-0.998],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-HDL-TG%,637,0.943 [0.890-0.999],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
