Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-FC%,547,1.063 [1.040-1.086],0.014,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-CE,617,1.015 [0.987-1.043],1.000,,Cholesteryl Esters in Very Large VLDL
XL-VLDL-P,599,1.012 [0.981-1.043],1.000,,Concentration of Very Large VLDL Particles
S-VLDL-L,665,1.004 [0.978-1.030],1.000,,Total-Lipids in Small VLDL
XS-VLDL-CE%,644,1.000 [0.972-1.029],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-P,633,0.948 [0.928-0.968],0.161,,Concentration of Large HDL Particles
L-HDL-PL,598,0.944 [0.924-0.964],0.026,*,Phospholipids in Large HDL
M-HDL-FC%,609,0.942 [0.922-0.963],0.025,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-FC,599,0.938 [0.917-0.959],0.005,**,Free Cholesterol in HDL
HDL-L,598,0.936 [0.913-0.960],0.058,,Total-Lipids in HDL
