Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-FC,610,1.065 [0.976-1.162],1.000,,Free Cholesterol in Very Large VLDL
XL-VLDL-FC%,397,1.050 [0.934-1.181],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG,687,1.038 [0.959-1.124],1.000,,Triglycerides in Small VLDL
VLDL-FC,630,1.036 [0.951-1.128],1.000,,Free Cholesterol in VLDL
S-HDL-PL,489,1.028 [0.920-1.147],1.000,,Phospholipids in Small HDL
HDL-size,600,0.988 [0.920-1.061],1.000,,Average Diameter for HDL Particles
M-VLDL-FC%,574,0.945 [0.861-1.037],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-PL,591,0.935 [0.859-1.018],1.000,,Phospholipids in IDL
M-LDL-L,531,0.867 [0.790-0.952],1.000,,Total-Lipids in Medium LDL
M-LDL-FC,407,0.846 [0.765-0.936],1.000,,Free Cholesterol in Medium LDL
