Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,257,1.044 [1.008-1.081],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-size,604,1.041 [0.990-1.096],1.000,,Average Diameter for VLDL Particles
M-VLDL-CE,487,1.031 [0.974-1.092],1.000,,Cholesteryl Esters in Medium VLDL
L-LDL-CE,502,1.025 [0.970-1.084],1.000,,Cholesteryl Esters in Large LDL
XS-VLDL-C%,642,1.018 [0.966-1.073],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
MUFA,654,0.991 [0.940-1.044],1.000,,Monounsaturated Fatty Acids
L-HDL-FC%,532,0.986 [0.943-1.031],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-FC,597,0.936 [0.885-0.990],1.000,,Free Cholesterol in Medium HDL
HDL-PL,590,0.930 [0.880-0.982],1.000,,Phospholipids in HDL
HDL-C,621,0.917 [0.867-0.970],1.000,,HDL Cholesterol
