Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-PL,556,1.011 [0.987-1.035],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
M-LDL-CE,550,1.011 [0.987-1.035],1.000,,Cholesteryl Esters in Medium LDL
XXL-VLDL-FC,557,1.006 [0.983-1.030],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-VLDL-CE,487,1.001 [0.979-1.024],1.000,,Cholesteryl Esters in Medium VLDL
S-LDL-PL,409,1.001 [0.981-1.021],1.000,,Phospholipids in Small LDL
L-HDL-PL%,508,1.000 [0.975-1.026],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
Total-CE,575,0.993 [0.971-1.016],1.000,,Total-Esterified Cholesterol
Omega-3%,215,0.986 [0.974-0.998],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Pyruvate,37,0.970 [0.883-1.066],1.000,,Pyruvate
S-HDL-FC,483,0.947 [0.918-0.978],1.000,,Free Cholesterol in Small HDL
