Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-C%,632,1.061 [1.016-1.108],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC,474,1.027 [0.978-1.078],1.000,,Free Cholesterol in Large LDL
S-VLDL-PL%,600,1.025 [0.979-1.074],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
L-HDL-FC,638,1.022 [0.983-1.062],1.000,,Free Cholesterol in Large HDL
HDL-size,600,1.011 [0.974-1.049],1.000,,Average Diameter for HDL Particles
LDL-P,552,0.990 [0.946-1.037],1.000,,Concentration of LDL Particles
XL-HDL-FC%,547,0.989 [0.950-1.029],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-TG,604,0.985 [0.950-1.021],1.000,,Triglycerides in Large LDL
XL-HDL-TG%,642,0.977 [0.935-1.021],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,580,0.961 [0.923-1.001],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
