Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.185 [1.118-1.256],0.003,**,Glycoprotein Acetyls
S-HDL-L,442,1.155 [1.102-1.212],6.449e-04,***,Total-Lipids in Small HDL
S-HDL-PL,489,1.142 [1.092-1.195],0.002,**,Phospholipids in Small HDL
S-HDL-FC,483,1.134 [1.086-1.184],0.002,**,Free Cholesterol in Small HDL
HDL-P,547,1.109 [1.066-1.153],0.074,,Concentration of HDL Particles
HDL-size,600,0.999 [0.975-1.023],1.000,,Average Diameter for HDL Particles
S-LDL-P,566,0.992 [0.958-1.028],1.000,,Concentration of Small LDL Particles
XL-HDL-FC%,547,0.992 [0.969-1.017],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C%,176,0.992 [0.943-1.044],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG%,657,0.975 [0.947-1.003],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
