Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-P,508,1.225 [1.143-1.313],0.003,**,Concentration of Medium LDL Particles
S-LDL-P,566,1.210 [1.131-1.295],0.008,**,Concentration of Small LDL Particles
M-VLDL-P,612,1.210 [1.137-1.288],5.644e-04,***,Concentration of Medium VLDL Particles
DHA%,240,1.208 [1.132-1.289],0.002,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-FC,594,1.208 [1.130-1.291],0.007,**,Free Cholesterol in Medium VLDL
M-VLDL-C,535,1.205 [1.123-1.292],0.042,*,Cholesterol in Medium VLDL
S-LDL-CE,543,1.201 [1.124-1.283],0.013,*,Cholesteryl Esters in Small LDL
DHA,289,1.201 [1.137-1.267],8.627e-06,***,Docosahexaenoic Acid
L-VLDL-C,622,1.197 [1.132-1.265],5.681e-05,***,Cholesterol in Large VLDL
Remnant-C,577,1.193 [1.116-1.274],0.041,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Omega-3,420,1.192 [1.145-1.240],1.880e-12,***,Omega-3 Fatty Acids
M-VLDL-PL,632,1.192 [1.119-1.269],0.010,**,Phospholipids in Medium VLDL
M-VLDL-TG,613,1.185 [1.122-1.251],2.109e-04,***,Triglycerides in Medium VLDL
VLDL-L,623,1.184 [1.117-1.254],0.002,**,Total-Lipids in VLDL
PUFA,699,1.177 [1.115-1.243],8.786e-04,***,Polyunsaturated Fatty Acids
M-VLDL-L,589,1.177 [1.111-1.247],0.007,**,Total-Lipids in Medium VLDL
Omega-3%,215,1.177 [1.122-1.234],5.448e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-PL,664,1.175 [1.108-1.247],0.021,*,Phospholipids in Small VLDL
VLDL-PL,674,1.173 [1.107-1.242],0.016,*,Phospholipids in VLDL
XL-VLDL-CE,617,1.172 [1.108-1.239],0.007,**,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,614,1.169 [1.105-1.236],0.011,*,Cholesteryl Esters in Large VLDL
Unsaturation,310,1.165 [1.112-1.220],2.661e-05,***,Degree of Unsaturation
S-VLDL-P,669,1.162 [1.100-1.227],0.019,*,Concentration of Small VLDL Particles
L-HDL-PL%,508,0.954 [0.888-1.026],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-C%,176,0.921 [0.834-1.016],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,257,0.841 [0.803-0.881],3.737e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-6%,366,0.799 [0.733-0.870],0.072,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.753 [0.702-0.807],3.498e-10,***,Linoleic Acid to Total-Fatty Acids percentage
