Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
3-Hydroxybutyrate,68,1.068 [0.845-1.350],1.000,,3-Hydroxybutyrate
L-VLDL-TG%,369,1.022 [0.965-1.083],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,547,1.018 [0.968-1.071],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-CE,553,1.005 [0.947-1.067],1.000,,Cholesteryl Esters in IDL
S-VLDL-CE%,509,1.000 [0.942-1.062],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Omega-3%,215,0.995 [0.958-1.033],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-TG%,153,0.988 [0.901-1.084],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-PL,628,0.983 [0.929-1.041],1.000,,Total-Phospholipids in Lipoprotein Particles
Total-C,563,0.975 [0.918-1.037],1.000,,Total-Cholesterol
Ala,85,0.874 [0.715-1.067],1.000,,Alanine
