Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,375,1.172 [1.110-1.238],0.003,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,564,1.160 [1.104-1.219],0.001,**,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,609,1.159 [1.104-1.217],6.689e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,661,1.154 [1.101-1.210],5.744e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
TG/PG,632,1.153 [1.104-1.204],3.111e-05,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,489,1.151 [1.097-1.208],0.002,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG,570,1.146 [1.095-1.199],9.771e-04,***,Triglycerides in Very Large VLDL
XXL-VLDL-L,514,1.141 [1.087-1.197],0.023,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,642,1.139 [1.091-1.190],6.585e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL,556,1.136 [1.086-1.188],0.005,**,Phospholipids in Chylomicrons and Extremely Large VLDL
MUFA%,525,1.135 [1.091-1.182],1.569e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,604,1.135 [1.089-1.182],3.195e-04,***,Average Diameter for VLDL Particles
XXL-VLDL-FC,557,1.130 [1.080-1.183],0.040,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,637,1.121 [1.078-1.165],0.002,**,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,677,1.117 [1.076-1.159],0.002,**,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,681,1.112 [1.068-1.157],0.043,*,Triglycerides in Small HDL
M-HDL-TG%,657,1.105 [1.066-1.145],0.010,**,Triglycerides to Total-Lipids in Medium HDL percentage
HDL-C,621,0.890 [0.854-0.928],0.011,*,HDL Cholesterol
M-HDL-C%,632,0.889 [0.855-0.925],9.689e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,611,0.888 [0.851-0.927],0.015,*,Cholesteryl Esters in HDL
L-HDL-C%,622,0.886 [0.848-0.926],0.016,*,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-CE,607,0.877 [0.835-0.920],0.022,*,Cholesteryl Esters in Medium HDL
L-HDL-CE%,562,0.874 [0.835-0.916],0.003,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-PL%,600,0.874 [0.834-0.916],0.004,**,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-FC%,651,0.874 [0.837-0.912],1.783e-04,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-C%,527,0.872 [0.829-0.918],0.039,*,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,0.870 [0.830-0.912],0.002,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,574,0.870 [0.828-0.913],0.005,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,642,0.869 [0.830-0.910],7.670e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,0.867 [0.829-0.908],1.860e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,0.866 [0.824-0.910],0.004,**,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,484,0.861 [0.825-0.899],1.691e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,597,0.854 [0.811-0.899],5.026e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,486,0.841 [0.793-0.892],0.002,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,0.839 [0.791-0.890],9.567e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
PUFA%,371,0.835 [0.790-0.881],2.142e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
