Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-3,420,1.076 [1.050-1.102],7.342e-04,***,Omega-3 Fatty Acids
Omega-3%,215,1.067 [1.041-1.093],0.071,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG,570,1.055 [1.001-1.112],1.000,,Triglycerides in Very Large VLDL
VLDL-PL,674,1.048 [1.001-1.096],1.000,,Phospholipids in VLDL
L-VLDL-PL%,580,1.027 [0.988-1.067],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-TG%,661,0.998 [0.954-1.044],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,257,0.933 [0.910-0.957],0.014,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL,545,0.928 [0.893-0.964],1.000,,Phospholipids in Medium HDL
HDL-P,547,0.922 [0.885-0.961],1.000,,Concentration of HDL Particles
LA%,226,0.886 [0.847-0.928],0.057,,Linoleic Acid to Total-Fatty Acids percentage
