Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-TG,472,1.188 [1.084-1.301],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
3-Hydroxybutyrate,68,1.143 [0.856-1.526],1.000,,3-Hydroxybutyrate
ApoB,565,1.062 [0.989-1.140],1.000,,Apolipoprotein B
M-LDL-TG,658,1.061 [0.994-1.133],1.000,,Triglycerides in Medium LDL
L-HDL-TG,449,1.020 [0.968-1.076],1.000,,Triglycerides in Large HDL
PUFA,699,0.981 [0.918-1.048],1.000,,Polyunsaturated Fatty Acids
Phosphoglyc,609,0.973 [0.906-1.045],1.000,,Phosphoglycerides
S-LDL-PL%,510,0.965 [0.883-1.055],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-P,598,0.943 [0.868-1.025],1.000,,Concentration of Medium HDL Particles
M-HDL-CE%,557,0.925 [0.862-0.992],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
