Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,444,1.108 [1.073-1.145],1.539e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,661,1.087 [1.060-1.114],1.778e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,564,1.083 [1.055-1.112],9.572e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,609,1.082 [1.052-1.112],0.006,**,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,594,1.058 [1.034-1.082],0.250,,Triglycerides to Total-Lipids in Small LDL percentage
L-LDL-FC%,687,0.935 [0.912-0.958],0.023,*,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-C,568,0.931 [0.907-0.956],0.035,*,Cholesterol in IDL
S-VLDL-FC%,609,0.930 [0.906-0.954],0.010,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,644,0.928 [0.906-0.952],0.001,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,597,0.928 [0.903-0.953],0.015,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,0.927 [0.903-0.951],0.002,**,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,642,0.925 [0.902-0.948],1.326e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,574,0.922 [0.897-0.948],0.002,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,492,0.922 [0.896-0.949],0.006,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-C%,604,0.922 [0.896-0.948],0.002,**,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,527,0.921 [0.896-0.946],8.677e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,523,0.920 [0.896-0.946],5.229e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,509,0.915 [0.891-0.940],4.126e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-CE%,485,0.912 [0.883-0.942],0.005,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,0.911 [0.882-0.941],0.005,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-FC%,460,0.908 [0.878-0.939],0.005,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
