Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.343 [1.228-1.470],2.844e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.305 [1.196-1.425],6.232e-04,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,397,1.222 [1.148-1.301],8.138e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.214 [1.147-1.285],6.321e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.205 [1.139-1.275],2.142e-05,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,1.203 [1.142-1.267],6.117e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,492,1.190 [1.131-1.252],5.758e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,509,1.187 [1.134-1.242],3.165e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,542,1.185 [1.138-1.235],9.990e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-PL%,398,1.170 [1.114-1.230],1.328e-04,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-FC%,331,1.164 [1.102-1.229],0.011,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-C%,527,1.164 [1.112-1.219],2.493e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE,487,1.154 [1.105-1.205],1.997e-05,***,Cholesteryl Esters in Medium VLDL
IDL-P,505,1.150 [1.104-1.198],3.734e-06,***,Concentration of IDL Particles
M-LDL-FC,407,1.146 [1.095-1.199],0.001,**,Free Cholesterol in Medium LDL
M-VLDL-C,535,1.142 [1.095-1.191],1.795e-04,***,Cholesterol in Medium VLDL
M-LDL-P,508,1.141 [1.090-1.193],0.003,**,Concentration of Medium LDL Particles
M-VLDL-FC%,574,1.139 [1.086-1.193],0.016,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,463,1.136 [1.088-1.186],0.002,**,Clinical LDL Cholesterol
M-VLDL-PL%,523,1.135 [1.084-1.189],0.019,*,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-P,566,1.133 [1.087-1.182],0.001,**,Concentration of Small LDL Particles
LDL-FC,411,1.133 [1.081-1.187],0.040,*,Free Cholesterol in LDL
S-LDL-FC,410,1.132 [1.085-1.182],0.003,**,Free Cholesterol in Small LDL
M-LDL-C,525,1.130 [1.081-1.182],0.018,*,Cholesterol in Medium LDL
L-LDL-PL,492,1.128 [1.081-1.178],0.010,*,Phospholipids in Large LDL
L-LDL-FC,474,1.128 [1.079-1.178],0.019,*,Free Cholesterol in Large LDL
M-LDL-L,531,1.127 [1.078-1.177],0.022,*,Total-Lipids in Medium LDL
LDL-P,552,1.125 [1.080-1.171],0.003,**,Concentration of LDL Particles
ApoB,565,1.124 [1.080-1.170],0.002,**,Apolipoprotein B
L-LDL-P,541,1.124 [1.078-1.171],0.006,**,Concentration of Large LDL Particles
S-LDL-C,489,1.124 [1.076-1.173],0.035,*,Cholesterol in Small LDL
M-VLDL-FC,594,1.122 [1.078-1.167],0.004,**,Free Cholesterol in Medium VLDL
S-LDL-L,511,1.121 [1.074-1.169],0.032,*,Total-Lipids in Small LDL
S-VLDL-FC,593,1.120 [1.077-1.165],0.004,**,Free Cholesterol in Small VLDL
Remnant-C,577,1.113 [1.069-1.158],0.044,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
HDL-FC,599,0.926 [0.901-0.952],0.015,*,Free Cholesterol in HDL
HDL-CE,611,0.910 [0.882-0.938],5.449e-04,***,Cholesteryl Esters in HDL
HDL-C,621,0.909 [0.882-0.937],2.647e-04,***,HDL Cholesterol
HDL-L,598,0.906 [0.880-0.933],7.656e-06,***,Total-Lipids in HDL
HDL-PL,590,0.899 [0.870-0.929],2.813e-05,***,Phospholipids in HDL
M-HDL-FC,597,0.897 [0.869-0.926],2.850e-06,***,Free Cholesterol in Medium HDL
ApoA1,587,0.893 [0.866-0.921],1.707e-07,***,Apolipoprotein A1
M-VLDL-TG%,609,0.882 [0.842-0.925],0.042,*,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-P,531,0.881 [0.852-0.911],4.829e-08,***,Total-Concentration of Lipoprotein Particles
HDL-P,547,0.879 [0.850-0.909],9.198e-09,***,Concentration of HDL Particles
M-HDL-C,607,0.877 [0.845-0.910],9.345e-07,***,Cholesterol in Medium HDL
M-HDL-P,598,0.875 [0.845-0.906],3.204e-08,***,Concentration of Medium HDL Particles
M-HDL-CE,607,0.874 [0.840-0.908],3.001e-06,***,Cholesteryl Esters in Medium HDL
L-VLDL-TG%,369,0.869 [0.829-0.912],0.003,**,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-L,576,0.865 [0.835-0.896],1.788e-10,***,Total-Lipids in Medium HDL
S-VLDL-TG%,564,0.863 [0.823-0.904],1.018e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-PL,545,0.861 [0.832-0.891],2.585e-12,***,Phospholipids in Medium HDL
XXL-VLDL-TG%,153,0.817 [0.763-0.875],0.002,**,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,444,0.801 [0.754-0.851],1.234e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
