Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.117 [0.999-1.248],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-P,552,1.096 [1.018-1.181],1.000,,Concentration of LDL Particles
Non-HDL-C,563,1.092 [1.011-1.179],1.000,,Total-Cholesterol Minus HDL-C
S-LDL-P,566,1.083 [1.006-1.166],1.000,,Concentration of Small LDL Particles
M-HDL-CE,607,1.077 [1.002-1.158],1.000,,Cholesteryl Esters in Medium HDL
L-VLDL-P,622,0.991 [0.923-1.065],1.000,,Concentration of Large VLDL Particles
XS-VLDL-TG,678,0.991 [0.940-1.045],1.000,,Triglycerides in Very Small VLDL
S-LDL-TG,690,0.970 [0.910-1.033],1.000,,Triglycerides in Small LDL
XXL-VLDL-TG%,153,0.920 [0.839-1.009],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu,32,0.840 [0.587-1.201],1.000,,Glucose
