Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.564 [1.367-1.788],1.549e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,332,1.528 [1.341-1.740],4.709e-05,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,484,1.437 [1.300-1.590],3.842e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-VLDL-C%,486,1.416 [1.253-1.601],0.006,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-PL%,510,1.415 [1.280-1.563],2.228e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-CE%,485,1.406 [1.245-1.589],0.011,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,597,1.379 [1.244-1.529],2.728e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,1.369 [1.235-1.517],5.771e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,609,1.367 [1.237-1.509],1.686e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-CE%,562,1.366 [1.241-1.505],5.445e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,651,1.357 [1.240-1.484],6.000e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-PL%,600,1.349 [1.221-1.490],8.798e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-HDL-C%,622,1.347 [1.230-1.476],3.378e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-C%,632,1.346 [1.236-1.466],1.872e-06,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-FC%,460,1.344 [1.206-1.498],0.022,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,1.324 [1.206-1.453],8.678e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,574,1.313 [1.194-1.445],0.005,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,644,1.311 [1.194-1.438],0.003,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,687,1.309 [1.192-1.438],0.004,**,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-CE%,557,1.297 [1.188-1.415],0.001,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-LDL-FC%,578,1.282 [1.177-1.396],0.003,**,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-FC%,609,1.276 [1.184-1.376],4.572e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,611,1.273 [1.170-1.385],0.005,**,Cholesteryl Esters in HDL
HDL-C,621,1.266 [1.165-1.376],0.006,**,HDL Cholesterol
