Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-PL%,441,1.059 [1.014-1.107],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,510,1.057 [1.007-1.109],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
HDL-PL,590,1.053 [1.008-1.101],1.000,,Phospholipids in HDL
XS-VLDL-CE%,644,1.036 [0.990-1.084],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-PL,628,1.015 [0.970-1.061],1.000,,Total-Phospholipids in Lipoprotein Particles
XL-VLDL-PL%,398,0.991 [0.941-1.044],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-TG%,369,0.982 [0.937-1.029],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-C%,306,0.979 [0.937-1.023],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-CE,550,0.970 [0.919-1.023],1.000,,Cholesteryl Esters in Medium LDL
XXL-VLDL-TG,472,0.883 [0.838-0.931],0.844,,Triglycerides in Chylomicrons and Extremely Large VLDL
