Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.558 [1.354-1.793],1.452e-04,***,Glycoprotein Acetyls
MUFA,654,1.325 [1.208-1.453],5.399e-04,***,Monounsaturated Fatty Acids
XL-VLDL-PL%,398,1.314 [1.194-1.446],0.006,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-P,508,1.312 [1.198-1.435],9.125e-04,***,Concentration of Medium LDL Particles
XL-VLDL-CE,617,1.311 [1.192-1.443],0.007,**,Cholesteryl Esters in Very Large VLDL
VLDL-FC,630,1.311 [1.200-1.433],5.245e-04,***,Free Cholesterol in VLDL
Total-FA,654,1.309 [1.199-1.429],4.842e-04,***,Total-Fatty Acids
VLDL-L,623,1.305 [1.181-1.442],0.041,*,Total-Lipids in VLDL
M-LDL-CE,550,1.304 [1.195-1.423],6.276e-04,***,Cholesteryl Esters in Medium LDL
L-VLDL-CE,614,1.304 [1.184-1.436],0.018,*,Cholesteryl Esters in Large VLDL
M-VLDL-L,589,1.295 [1.180-1.421],0.012,*,Total-Lipids in Medium VLDL
M-LDL-C,525,1.294 [1.185-1.413],0.002,**,Cholesterol in Medium LDL
VLDL-PL,674,1.294 [1.180-1.418],0.009,**,Phospholipids in VLDL
VLDL-C,644,1.293 [1.190-1.406],3.610e-04,***,VLDL Cholesterol
M-LDL-L,531,1.289 [1.182-1.405],0.002,**,Total-Lipids in Medium LDL
M-VLDL-PL,632,1.287 [1.180-1.403],0.003,**,Phospholipids in Medium VLDL
S-LDL-CE,543,1.284 [1.179-1.399],0.003,**,Cholesteryl Esters in Small LDL
M-VLDL-P,612,1.281 [1.173-1.399],0.009,**,Concentration of Medium VLDL Particles
S-VLDL-L,665,1.278 [1.174-1.391],0.003,**,Total-Lipids in Small VLDL
VLDL-CE,621,1.277 [1.176-1.385],0.001,**,Cholesteryl Esters in VLDL
M-VLDL-FC,594,1.273 [1.169-1.387],0.007,**,Free Cholesterol in Medium VLDL
VLDL-P,640,1.264 [1.166-1.370],0.003,**,Concentration of VLDL Particles
S-LDL-P,566,1.263 [1.160-1.376],0.021,*,Concentration of Small LDL Particles
LA,635,1.262 [1.162-1.371],0.008,**,Linoleic Acid
M-LDL-PL,492,1.261 [1.156-1.375],0.038,*,Phospholipids in Medium LDL
S-VLDL-FC,593,1.258 [1.157-1.367],0.016,*,Free Cholesterol in Small VLDL
S-VLDL-PL,664,1.257 [1.160-1.363],0.006,**,Phospholipids in Small VLDL
S-VLDL-CE,626,1.245 [1.150-1.349],0.016,*,Cholesteryl Esters in Small VLDL
XL-HDL-FC,590,0.939 [0.857-1.030],1.000,,Free Cholesterol in Very Large HDL
XL-HDL-C,653,0.909 [0.834-0.990],1.000,,Cholesterol in Very Large HDL
S-HDL-C%,436,0.899 [0.816-0.990],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-PL%,510,0.769 [0.690-0.856],0.380,,Phospholipids to Total-Lipids in Small LDL percentage
LDL-size,178,0.750 [0.591-0.952],1.000,,Average Diameter for LDL Particles
