Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-CE,664,1.020 [0.996-1.045],1.000,,Cholesteryl Esters in Very Large HDL
L-LDL-CE%,344,1.013 [0.978-1.050],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-PL%,441,1.012 [0.990-1.034],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,623,1.012 [0.991-1.034],1.000,,Total-Lipids in Large HDL
HDL-CE,611,1.007 [0.983-1.032],1.000,,Cholesteryl Esters in HDL
L-LDL-FC,474,0.985 [0.958-1.011],1.000,,Free Cholesterol in Large LDL
L-LDL-PL,492,0.979 [0.953-1.006],1.000,,Phospholipids in Large LDL
M-LDL-PL,492,0.969 [0.944-0.995],1.000,,Phospholipids in Medium LDL
S-LDL-TG,690,0.968 [0.945-0.993],1.000,,Triglycerides in Small LDL
MUFA,654,0.962 [0.937-0.988],1.000,,Monounsaturated Fatty Acids
