Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.083 [1.051-1.116],0.047,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-C%,486,1.075 [1.041-1.111],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-FC,546,1.021 [0.994-1.050],1.000,,Total-Free Cholesterol
Tyr,120,1.014 [0.954-1.078],1.000,,Tyrosine
Total-C,563,1.013 [0.984-1.042],1.000,,Total-Cholesterol
XS-VLDL-TG%,661,0.943 [0.920-0.967],0.875,,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-CE,607,0.936 [0.911-0.962],0.418,,Cholesteryl Esters in Medium HDL
M-HDL-L,576,0.933 [0.909-0.958],0.073,,Total-Lipids in Medium HDL
M-HDL-PL,545,0.930 [0.906-0.955],0.026,*,Phospholipids in Medium HDL
S-HDL-PL,489,0.918 [0.887-0.950],0.209,,Phospholipids in Small HDL
