Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-TG%,369,1.013 [0.979-1.048],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-FC%,532,1.009 [0.982-1.038],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-TG,593,1.007 [0.982-1.033],1.000,,Triglycerides in HDL
HDL-FC,599,1.007 [0.981-1.034],1.000,,Free Cholesterol in HDL
VLDL-size,604,1.001 [0.969-1.034],1.000,,Average Diameter for VLDL Particles
IDL-CE,553,0.997 [0.963-1.032],1.000,,Cholesteryl Esters in IDL
Total-FA,654,0.992 [0.961-1.024],1.000,,Total-Fatty Acids
LDL-TG,630,0.988 [0.961-1.015],1.000,,Triglycerides in LDL
L-VLDL-PL,637,0.983 [0.950-1.017],1.000,,Phospholipids in Large VLDL
L-VLDL-FC,648,0.978 [0.946-1.012],1.000,,Free Cholesterol in Large VLDL
