Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.267 [1.178-1.364],6.200e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.236 [1.151-1.328],0.001,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,397,1.191 [1.130-1.254],1.019e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.176 [1.121-1.233],5.184e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.168 [1.115-1.224],1.954e-05,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,1.167 [1.118-1.218],2.717e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,492,1.158 [1.110-1.207],2.793e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,509,1.153 [1.111-1.197],2.266e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,542,1.153 [1.114-1.193],7.604e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-PL%,398,1.145 [1.098-1.193],3.873e-05,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,527,1.138 [1.095-1.183],1.006e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-FC%,331,1.134 [1.085-1.187],0.009,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-CE,487,1.134 [1.093-1.176],3.728e-06,***,Cholesteryl Esters in Medium VLDL
IDL-P,505,1.132 [1.094-1.171],2.441e-07,***,Concentration of IDL Particles
M-LDL-FC,407,1.124 [1.081-1.168],8.397e-04,***,Free Cholesterol in Medium LDL
M-VLDL-C,535,1.122 [1.083-1.162],5.443e-05,***,Cholesterol in Medium VLDL
M-VLDL-FC%,574,1.121 [1.078-1.166],0.002,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-P,508,1.119 [1.078-1.163],0.002,**,Concentration of Medium LDL Particles
M-VLDL-PL%,523,1.118 [1.076-1.162],0.003,**,Phospholipids to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,463,1.117 [1.077-1.159],0.001,**,Clinical LDL Cholesterol
S-LDL-P,566,1.115 [1.076-1.155],3.929e-04,***,Concentration of Small LDL Particles
S-LDL-FC,410,1.115 [1.076-1.156],7.342e-04,***,Free Cholesterol in Small LDL
LDL-FC,411,1.115 [1.072-1.159],0.016,*,Free Cholesterol in LDL
L-LDL-FC,474,1.113 [1.073-1.155],0.004,**,Free Cholesterol in Large LDL
L-LDL-PL,492,1.111 [1.071-1.153],0.005,**,Phospholipids in Large LDL
M-VLDL-C%,604,1.110 [1.067-1.154],0.039,*,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C,525,1.109 [1.068-1.152],0.018,*,Cholesterol in Medium LDL
LDL-P,552,1.109 [1.071-1.147],8.451e-04,***,Concentration of LDL Particles
ApoB,565,1.107 [1.070-1.145],7.452e-04,***,Apolipoprotein B
M-LDL-L,531,1.106 [1.066-1.148],0.020,*,Total-Lipids in Medium LDL
L-LDL-P,541,1.106 [1.068-1.145],0.003,**,Concentration of Large LDL Particles
IDL-CE,553,1.105 [1.065-1.145],0.016,*,Cholesteryl Esters in IDL
S-LDL-C,489,1.104 [1.064-1.145],0.038,*,Cholesterol in Small LDL
M-VLDL-FC,594,1.103 [1.066-1.141],0.004,**,Free Cholesterol in Medium VLDL
IDL-C,568,1.102 [1.063-1.142],0.022,*,Cholesterol in IDL
S-LDL-L,511,1.102 [1.063-1.142],0.032,*,Total-Lipids in Small LDL
S-VLDL-FC,593,1.100 [1.065-1.137],0.003,**,Free Cholesterol in Small VLDL
Remnant-C,577,1.099 [1.062-1.137],0.012,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
HDL-CE,611,0.927 [0.902-0.952],0.007,**,Cholesteryl Esters in HDL
HDL-C,621,0.926 [0.902-0.952],0.005,**,HDL Cholesterol
HDL-L,598,0.921 [0.897-0.945],1.660e-04,***,Total-Lipids in HDL
HDL-PL,590,0.915 [0.889-0.942],3.396e-04,***,Phospholipids in HDL
M-HDL-FC,597,0.914 [0.889-0.940],6.385e-05,***,Free Cholesterol in Medium HDL
ApoA1,587,0.909 [0.883-0.935],5.656e-06,***,Apolipoprotein A1
M-VLDL-TG%,609,0.897 [0.862-0.932],0.011,*,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-C,607,0.896 [0.867-0.926],1.061e-05,***,Cholesterol in Medium HDL
Total-P,531,0.896 [0.868-0.924],7.228e-07,***,Total-Concentration of Lipoprotein Particles
HDL-P,547,0.894 [0.867-0.922],2.107e-07,***,Concentration of HDL Particles
M-HDL-P,598,0.893 [0.865-0.922],4.164e-07,***,Concentration of Medium HDL Particles
M-HDL-CE,607,0.893 [0.863-0.924],2.253e-05,***,Cholesteryl Esters in Medium HDL
L-VLDL-TG%,369,0.890 [0.855-0.925],0.001,**,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-L,576,0.882 [0.855-0.910],1.336e-09,***,Total-Lipids in Medium HDL
S-VLDL-TG%,564,0.881 [0.847-0.916],3.444e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
