Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL%,398,1.454 [1.323-1.597],1.378e-09,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,225,1.440 [1.276-1.626],8.540e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,261,1.419 [1.249-1.613],0.020,*,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-FC%,397,1.407 [1.254-1.579],0.001,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-P,508,1.382 [1.265-1.509],1.524e-07,***,Concentration of Medium LDL Particles
ApoB/ApoA1,542,1.378 [1.275-1.489],1.354e-10,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-CE,487,1.368 [1.259-1.486],2.657e-08,***,Cholesteryl Esters in Medium VLDL
M-VLDL-C,535,1.367 [1.261-1.483],9.440e-09,***,Cholesterol in Medium VLDL
M-LDL-C,525,1.365 [1.250-1.491],9.641e-07,***,Cholesterol in Medium LDL
M-LDL-FC,407,1.360 [1.244-1.485],2.501e-06,***,Free Cholesterol in Medium LDL
Clinical LDL-C,463,1.358 [1.247-1.479],4.873e-07,***,Clinical LDL Cholesterol
M-LDL-CE,550,1.352 [1.238-1.476],4.927e-06,***,Cholesteryl Esters in Medium LDL
M-VLDL-FC,594,1.346 [1.245-1.455],1.915e-08,***,Free Cholesterol in Medium VLDL
M-LDL-L,531,1.346 [1.234-1.468],4.773e-06,***,Total-Lipids in Medium LDL
L-VLDL-CE%,492,1.345 [1.227-1.474],6.385e-05,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,395,1.340 [1.224-1.467],5.290e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-PL,492,1.340 [1.231-1.459],3.675e-06,***,Phospholipids in Large LDL
S-LDL-C,489,1.338 [1.229-1.457],5.284e-06,***,Cholesterol in Small LDL
S-LDL-CE,543,1.335 [1.226-1.454],7.159e-06,***,Cholesteryl Esters in Small LDL
S-VLDL-CE%,509,1.333 [1.230-1.445],7.310e-07,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LDL-P,552,1.332 [1.231-1.442],2.366e-07,***,Concentration of LDL Particles
LDL-PL,473,1.331 [1.222-1.450],1.370e-05,***,Phospholipids in LDL
Non-HDL-C,563,1.329 [1.229-1.438],3.133e-07,***,Total-Cholesterol Minus HDL-C
S-LDL-P,566,1.327 [1.225-1.438],1.008e-06,***,Concentration of Small LDL Particles
L-VLDL-FC%,331,1.324 [1.204-1.457],0.002,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
ApoB,565,1.324 [1.225-1.431],2.988e-07,***,Apolipoprotein B
M-LDL-PL,492,1.324 [1.213-1.444],7.266e-05,***,Phospholipids in Medium LDL
LDL-C,476,1.322 [1.214-1.439],3.445e-05,***,LDL Cholesterol
S-VLDL-C%,527,1.322 [1.213-1.440],4.912e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-P,505,1.321 [1.224-1.426],2.068e-07,***,Concentration of IDL Particles
S-VLDL-FC,593,1.320 [1.223-1.425],2.726e-07,***,Free Cholesterol in Small VLDL
L-LDL-C,488,1.318 [1.215-1.430],7.984e-06,***,Cholesterol in Large LDL
L-LDL-CE,502,1.317 [1.214-1.429],8.075e-06,***,Cholesteryl Esters in Large LDL
S-LDL-L,511,1.317 [1.213-1.431],1.558e-05,***,Total-Lipids in Small LDL
Remnant-C,577,1.317 [1.219-1.423],7.143e-07,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-P,541,1.317 [1.217-1.425],2.013e-06,***,Concentration of Large LDL Particles
VLDL-CE,621,1.315 [1.222-1.415],6.373e-08,***,Cholesteryl Esters in VLDL
S-LDL-FC,410,1.310 [1.210-1.418],5.672e-06,***,Free Cholesterol in Small LDL
M-VLDL-FC%,574,1.309 [1.200-1.428],2.848e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-FC,411,1.306 [1.199-1.423],2.129e-04,***,Free Cholesterol in LDL
XS-VLDL-FC%,460,1.306 [1.191-1.431],0.003,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-CE,506,1.305 [1.201-1.419],8.816e-05,***,Cholesteryl Esters in LDL
L-LDL-L,508,1.304 [1.203-1.413],2.345e-05,***,Total-Lipids in Large LDL
LDL-L,502,1.298 [1.195-1.410],1.417e-04,***,Total-Lipids in LDL
L-LDL-FC,474,1.298 [1.197-1.408],6.936e-05,***,Free Cholesterol in Large LDL
S-VLDL-C,618,1.292 [1.200-1.392],2.676e-06,***,Cholesterol in Small VLDL
IDL-CE,553,1.287 [1.193-1.390],2.309e-05,***,Cholesteryl Esters in IDL
M-VLDL-P,612,1.282 [1.181-1.392],6.722e-04,***,Concentration of Medium VLDL Particles
S-VLDL-CE,626,1.278 [1.189-1.373],6.668e-06,***,Cholesteryl Esters in Small VLDL
M-VLDL-PL%,523,1.277 [1.175-1.387],0.002,**,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-PL,632,1.276 [1.177-1.383],7.153e-04,***,Phospholipids in Medium VLDL
IDL-C,568,1.276 [1.182-1.376],9.206e-05,***,Cholesterol in IDL
Total-FC,546,1.274 [1.180-1.375],1.415e-04,***,Total-Free Cholesterol
Total-C,563,1.261 [1.162-1.368],0.006,**,Total-Cholesterol
S-LDL-PL,409,1.261 [1.166-1.363],0.001,**,Phospholipids in Small LDL
S-VLDL-PL,664,1.260 [1.170-1.357],2.617e-04,***,Phospholipids in Small VLDL
VLDL-C,644,1.256 [1.163-1.356],0.001,**,VLDL Cholesterol
IDL-FC,587,1.252 [1.161-1.349],0.001,**,Free Cholesterol in IDL
IDL-L,573,1.242 [1.154-1.337],0.002,**,Total-Lipids in IDL
IDL-PL,591,1.226 [1.143-1.314],0.003,**,Phospholipids in IDL
XS-VLDL-CE,620,1.212 [1.136-1.294],0.002,**,Cholesteryl Esters in Very Small VLDL
XS-VLDL-C,604,1.189 [1.115-1.269],0.034,*,Cholesterol in Very Small VLDL
XS-VLDL-TG%,661,0.817 [0.754-0.886],0.229,,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.788 [0.720-0.862],0.050,,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-TG%,369,0.771 [0.710-0.837],1.386e-04,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-VLDL-TG%,564,0.766 [0.701-0.836],6.897e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.697 [0.624-0.778],3.396e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
