Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-C%,642,1.016 [0.986-1.047],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE%,367,1.016 [0.990-1.042],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-VLDL-C%,486,1.011 [0.973-1.050],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,581,1.010 [0.986-1.035],1.000,,Concentration of Very Large HDL Particles
LDL-FC,411,1.006 [0.969-1.045],1.000,,Free Cholesterol in LDL
S-VLDL-L,665,0.972 [0.940-1.006],1.000,,Total-Lipids in Small VLDL
XXL-VLDL-TG,472,0.972 [0.938-1.007],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
HDL-L,598,0.971 [0.939-1.004],1.000,,Total-Lipids in HDL
LDL-TG,630,0.967 [0.937-0.998],1.000,,Triglycerides in LDL
MUFA%,525,0.950 [0.921-0.980],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
