Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-C%,527,1.474 [1.263-1.720],0.215,,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-size,600,1.199 [1.052-1.366],1.000,,Average Diameter for HDL Particles
VLDL-CE,621,1.162 [1.006-1.341],1.000,,Cholesteryl Esters in VLDL
XS-VLDL-FC,612,1.147 [1.018-1.294],1.000,,Free Cholesterol in Very Small VLDL
Tyr,120,1.037 [0.709-1.517],1.000,,Tyrosine
L-VLDL-P,622,0.971 [0.838-1.125],1.000,,Concentration of Large VLDL Particles
XXL-VLDL-P,529,0.865 [0.738-1.014],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,556,0.856 [0.735-0.998],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG%,594,0.809 [0.707-0.926],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,564,0.690 [0.591-0.804],0.533,,Triglycerides to Total-Lipids in Small VLDL percentage
