Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-FC%,397,1.550 [1.384-1.735],8.362e-09,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE,487,1.495 [1.361-1.641],8.769e-12,***,Cholesteryl Esters in Medium VLDL
IDL-P,505,1.444 [1.323-1.575],3.353e-11,***,Concentration of IDL Particles
S-VLDL-C%,527,1.438 [1.318-1.569],8.516e-11,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC,474,1.437 [1.314-1.571],4.151e-10,***,Free Cholesterol in Large LDL
LDL-FC,411,1.436 [1.305-1.579],2.177e-08,***,Free Cholesterol in LDL
M-VLDL-FC%,574,1.434 [1.321-1.556],1.367e-12,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC,407,1.431 [1.299-1.577],1.107e-07,***,Free Cholesterol in Medium LDL
Clinical LDL-C,463,1.429 [1.299-1.571],4.384e-08,***,Clinical LDL Cholesterol
M-VLDL-C,535,1.418 [1.294-1.555],2.165e-08,***,Cholesterol in Medium VLDL
L-LDL-PL,492,1.415 [1.288-1.555],1.162e-07,***,Phospholipids in Large LDL
XL-VLDL-C%,486,1.415 [1.273-1.572],2.866e-05,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-CE,553,1.411 [1.297-1.534],2.153e-10,***,Cholesteryl Esters in IDL
M-VLDL-PL%,523,1.405 [1.292-1.528],3.949e-10,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-C,568,1.403 [1.293-1.523],1.309e-10,***,Cholesterol in IDL
S-LDL-FC,410,1.399 [1.281-1.527],1.693e-08,***,Free Cholesterol in Small LDL
S-VLDL-CE%,509,1.396 [1.280-1.521],8.952e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-P,508,1.395 [1.264-1.539],8.938e-06,***,Concentration of Medium LDL Particles
L-LDL-C,488,1.390 [1.265-1.528],1.904e-06,***,Cholesterol in Large LDL
L-VLDL-CE%,492,1.390 [1.265-1.526],1.348e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,395,1.388 [1.259-1.531],1.179e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
ApoB/ApoA1,542,1.388 [1.274-1.513],1.894e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
LDL-C,476,1.385 [1.255-1.528],1.941e-05,***,LDL Cholesterol
LDL-PL,473,1.382 [1.255-1.521],1.075e-05,***,Phospholipids in LDL
XL-VLDL-CE%,485,1.381 [1.246-1.531],2.028e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-LDL-P,566,1.374 [1.257-1.501],5.351e-07,***,Concentration of Small LDL Particles
L-LDL-L,508,1.372 [1.250-1.506],6.903e-06,***,Total-Lipids in Large LDL
M-LDL-C,525,1.370 [1.244-1.508],3.437e-05,***,Cholesterol in Medium LDL
IDL-FC,587,1.370 [1.266-1.482],1.290e-09,***,Free Cholesterol in IDL
L-LDL-P,541,1.368 [1.252-1.494],8.401e-07,***,Concentration of Large LDL Particles
L-LDL-CE,502,1.365 [1.241-1.502],3.815e-05,***,Cholesteryl Esters in Large LDL
S-LDL-C,489,1.365 [1.240-1.502],4.836e-05,***,Cholesterol in Small LDL
M-VLDL-C%,604,1.364 [1.250-1.489],7.020e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC%,460,1.362 [1.235-1.503],1.621e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-L,502,1.357 [1.233-1.494],9.676e-05,***,Total-Lipids in LDL
LDL-P,552,1.357 [1.243-1.482],2.149e-06,***,Concentration of LDL Particles
XL-VLDL-PL%,398,1.357 [1.217-1.513],0.010,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC,594,1.357 [1.244-1.480],1.396e-06,***,Free Cholesterol in Medium VLDL
ApoB,565,1.354 [1.242-1.477],1.545e-06,***,Apolipoprotein B
Non-HDL-C,563,1.354 [1.238-1.480],7.940e-06,***,Total-Cholesterol Minus HDL-C
LDL-CE,506,1.353 [1.229-1.490],1.796e-04,***,Cholesteryl Esters in LDL
S-LDL-PL,409,1.353 [1.233-1.485],4.618e-05,***,Phospholipids in Small LDL
S-LDL-L,511,1.352 [1.234-1.481],2.382e-05,***,Total-Lipids in Small LDL
S-LDL-CE,543,1.351 [1.230-1.482],6.461e-05,***,Cholesteryl Esters in Small LDL
M-LDL-L,531,1.347 [1.226-1.481],1.416e-04,***,Total-Lipids in Medium LDL
Remnant-C,577,1.344 [1.232-1.467],6.905e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-PL,492,1.340 [1.217-1.476],6.677e-04,***,Phospholipids in Medium LDL
IDL-L,573,1.340 [1.237-1.451],1.680e-07,***,Total-Lipids in IDL
M-LDL-CE,550,1.337 [1.215-1.472],6.218e-04,***,Cholesteryl Esters in Medium LDL
S-VLDL-FC,593,1.335 [1.226-1.454],6.740e-06,***,Free Cholesterol in Small VLDL
M-VLDL-CE%,597,1.326 [1.213-1.449],1.079e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,1.321 [1.216-1.436],1.260e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-C,563,1.320 [1.206-1.445],3.719e-04,***,Total-Cholesterol
S-VLDL-FC%,609,1.319 [1.213-1.435],2.081e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-FC,546,1.317 [1.204-1.441],4.792e-04,***,Total-Free Cholesterol
Total-CE,575,1.313 [1.201-1.437],6.422e-04,***,Total-Esterified Cholesterol
IDL-PL,591,1.310 [1.213-1.414],1.112e-06,***,Phospholipids in IDL
VLDL-CE,621,1.294 [1.191-1.407],2.819e-04,***,Cholesteryl Esters in VLDL
XS-VLDL-CE,620,1.278 [1.189-1.374],6.762e-06,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-PL,632,1.268 [1.162-1.385],0.027,*,Phospholipids in Medium VLDL
S-VLDL-C,618,1.267 [1.168-1.376],0.004,**,Cholesterol in Small VLDL
XS-VLDL-C%,642,1.267 [1.170-1.371],0.001,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL,664,1.253 [1.156-1.357],0.009,**,Phospholipids in Small VLDL
XS-VLDL-C,604,1.243 [1.155-1.338],0.002,**,Cholesterol in Very Small VLDL
S-VLDL-CE,626,1.242 [1.148-1.344],0.017,*,Cholesteryl Esters in Small VLDL
M-LDL-TG%,456,0.811 [0.750-0.876],0.033,*,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,661,0.772 [0.713-0.835],2.641e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.718 [0.658-0.782],9.535e-09,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.699 [0.640-0.762],1.857e-10,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.651 [0.583-0.727],5.841e-09,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
