Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.326 [1.220-1.442],8.444e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.286 [1.186-1.395],2.448e-04,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,397,1.217 [1.148-1.290],8.779e-06,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.206 [1.144-1.272],1.089e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.198 [1.137-1.263],3.851e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,1.195 [1.139-1.254],9.888e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,492,1.188 [1.133-1.245],2.993e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,509,1.181 [1.132-1.232],2.772e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,542,1.179 [1.135-1.224],4.862e-12,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-PL%,398,1.166 [1.115-1.220],6.354e-06,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,527,1.163 [1.114-1.214],1.317e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE,487,1.158 [1.112-1.207],3.887e-07,***,Cholesteryl Esters in Medium VLDL
IDL-P,505,1.157 [1.115-1.202],4.478e-09,***,Concentration of IDL Particles
L-VLDL-FC%,331,1.153 [1.096-1.213],0.009,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC,407,1.150 [1.102-1.200],2.715e-05,***,Free Cholesterol in Medium LDL
M-VLDL-C,535,1.149 [1.105-1.195],9.737e-07,***,Cholesterol in Medium VLDL
M-LDL-P,508,1.146 [1.099-1.195],4.009e-05,***,Concentration of Medium LDL Particles
M-VLDL-FC%,574,1.145 [1.096-1.196],3.998e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,463,1.144 [1.098-1.192],3.047e-05,***,Clinical LDL Cholesterol
S-LDL-P,566,1.142 [1.098-1.187],7.785e-06,***,Concentration of Small LDL Particles
LDL-FC,411,1.137 [1.088-1.187],0.002,**,Free Cholesterol in LDL
L-LDL-PL,492,1.136 [1.091-1.184],2.262e-04,***,Phospholipids in Large LDL
M-VLDL-PL%,523,1.136 [1.088-1.186],0.002,**,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-C,525,1.136 [1.089-1.184],6.034e-04,***,Cholesterol in Medium LDL
S-LDL-FC,410,1.134 [1.090-1.180],1.657e-04,***,Free Cholesterol in Small LDL
LDL-P,552,1.134 [1.092-1.178],1.619e-05,***,Concentration of LDL Particles
L-LDL-FC,474,1.134 [1.088-1.182],5.977e-04,***,Free Cholesterol in Large LDL
ApoB,565,1.133 [1.092-1.176],1.029e-05,***,Apolipoprotein B
S-LDL-C,489,1.132 [1.087-1.179],5.818e-04,***,Cholesterol in Small LDL
M-LDL-L,531,1.132 [1.087-1.179],5.747e-04,***,Total-Lipids in Medium LDL
M-VLDL-C%,604,1.131 [1.082-1.181],0.009,**,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-P,541,1.130 [1.088-1.175],9.152e-05,***,Concentration of Large LDL Particles
S-LDL-CE,543,1.130 [1.085-1.178],0.001,**,Cholesteryl Esters in Small LDL
LDL-PL,473,1.129 [1.083-1.176],0.002,**,Phospholipids in LDL
S-LDL-L,511,1.129 [1.085-1.175],5.504e-04,***,Total-Lipids in Small LDL
M-VLDL-FC,594,1.128 [1.087-1.170],5.040e-05,***,Free Cholesterol in Medium VLDL
M-LDL-CE,550,1.125 [1.078-1.173],0.010,*,Cholesteryl Esters in Medium LDL
IDL-CE,553,1.124 [1.079-1.170],0.004,**,Cholesteryl Esters in IDL
S-VLDL-FC,593,1.124 [1.084-1.165],6.613e-05,***,Free Cholesterol in Small VLDL
M-LDL-PL,492,1.124 [1.079-1.170],0.003,**,Phospholipids in Medium LDL
Remnant-C,577,1.121 [1.080-1.164],5.916e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-C,488,1.120 [1.077-1.166],0.005,**,Cholesterol in Large LDL
IDL-C,568,1.120 [1.076-1.166],0.006,**,Cholesterol in IDL
