Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL,607,1.164 [1.048-1.292],1.000,,Phospholipids in Very Large VLDL
L-LDL-PL,492,1.157 [1.037-1.291],1.000,,Phospholipids in Large LDL
S-HDL-TG,681,1.040 [0.947-1.142],1.000,,Triglycerides in Small HDL
XXL-VLDL-CE%,176,1.016 [0.858-1.202],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C,671,1.008 [0.921-1.103],1.000,,Cholesterol in Large HDL
XL-VLDL-FC%,397,0.979 [0.855-1.121],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,547,0.974 [0.887-1.068],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,609,0.959 [0.863-1.065],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-CE,360,0.905 [0.803-1.019],1.000,,Cholesteryl Esters in Small HDL
S-HDL-C,410,0.893 [0.784-1.017],1.000,,Cholesterol in Small HDL
