Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-PL,637,1.190 [0.982-1.442],1.000,,Phospholipids in Large VLDL
M-VLDL-TG,613,1.177 [0.959-1.443],1.000,,Triglycerides in Medium VLDL
LDL-TG,630,1.051 [0.893-1.237],1.000,,Triglycerides in LDL
XL-VLDL-FC%,397,1.025 [0.790-1.330],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,626,1.014 [0.826-1.246],1.000,,Total-Lipids in Lipoprotein Particles
M-VLDL-L,589,0.997 [0.815-1.220],1.000,,Total-Lipids in Medium VLDL
L-LDL-PL%,382,0.962 [0.804-1.152],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
S-HDL-PL,489,0.900 [0.695-1.165],1.000,,Phospholipids in Small HDL
M-LDL-C,525,0.842 [0.666-1.065],1.000,,Cholesterol in Medium LDL
Omega-6%,366,0.816 [0.636-1.047],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
