Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-PL,637,1.014 [0.973-1.057],1.000,,Phospholipids in Large VLDL
XL-VLDL-L,578,1.010 [0.967-1.055],1.000,,Total-Lipids in Very Large VLDL
L-VLDL-PL%,580,1.007 [0.969-1.047],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-P,529,1.004 [0.960-1.051],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
VLDL-TG,582,1.004 [0.962-1.048],1.000,,Triglycerides in VLDL
S-LDL-L,511,0.998 [0.957-1.042],1.000,,Total-Lipids in Small LDL
HDL-TG,593,0.995 [0.961-1.029],1.000,,Triglycerides in HDL
L-HDL-FC%,532,0.993 [0.959-1.029],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-CE,626,0.990 [0.952-1.031],1.000,,Cholesteryl Esters in Small VLDL
IDL-FC,587,0.986 [0.945-1.028],1.000,,Free Cholesterol in IDL
