Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-CE,487,1.277 [1.211-1.346],2.645e-14,***,Cholesteryl Esters in Medium VLDL
XL-VLDL-FC%,397,1.272 [1.194-1.356],3.315e-08,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-P,505,1.256 [1.196-1.319],1.739e-14,***,Concentration of IDL Particles
M-VLDL-C,535,1.255 [1.193-1.321],5.786e-13,***,Cholesterol in Medium VLDL
Clinical LDL-C,463,1.251 [1.186-1.319],3.934e-11,***,Clinical LDL Cholesterol
M-LDL-FC,407,1.250 [1.184-1.320],1.822e-10,***,Free Cholesterol in Medium LDL
L-LDL-FC,474,1.245 [1.184-1.309],3.123e-12,***,Free Cholesterol in Large LDL
L-LDL-PL,492,1.245 [1.181-1.312],9.497e-11,***,Phospholipids in Large LDL
M-LDL-P,508,1.244 [1.178-1.314],1.517e-09,***,Concentration of Medium LDL Particles
LDL-FC,411,1.243 [1.179-1.311],1.834e-10,***,Free Cholesterol in LDL
XL-VLDL-PL%,398,1.235 [1.163-1.312],1.747e-06,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
ApoB/ApoA1,542,1.234 [1.179-1.293],1.097e-13,***,Apolipoprotein B to Apolipoprotein A1 ratio
LDL-PL,473,1.234 [1.170-1.301],1.931e-09,***,Phospholipids in LDL
M-LDL-C,525,1.234 [1.170-1.301],2.943e-09,***,Cholesterol in Medium LDL
S-LDL-C,489,1.233 [1.169-1.300],3.102e-09,***,Cholesterol in Small LDL
IDL-CE,553,1.231 [1.174-1.291],1.826e-12,***,Cholesteryl Esters in IDL
S-LDL-FC,410,1.231 [1.172-1.292],2.323e-11,***,Free Cholesterol in Small LDL
S-LDL-CE,543,1.229 [1.167-1.294],1.331e-09,***,Cholesteryl Esters in Small LDL
S-VLDL-C%,527,1.229 [1.170-1.291],5.973e-11,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-P,566,1.229 [1.169-1.292],1.047e-10,***,Concentration of Small LDL Particles
LDL-C,476,1.228 [1.164-1.297],2.455e-08,***,LDL Cholesterol
L-LDL-C,488,1.228 [1.166-1.294],2.506e-09,***,Cholesterol in Large LDL
L-LDL-P,541,1.227 [1.169-1.289],6.842e-11,***,Concentration of Large LDL Particles
M-LDL-L,531,1.226 [1.164-1.292],4.889e-09,***,Total-Lipids in Medium LDL
S-LDL-L,511,1.225 [1.165-1.289],1.244e-09,***,Total-Lipids in Small LDL
IDL-C,568,1.225 [1.169-1.283],2.506e-12,***,Cholesterol in IDL
