Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-TG,630,1.043 [1.006-1.080],1.000,,Triglycerides in LDL
M-HDL-TG,617,1.031 [0.995-1.069],1.000,,Triglycerides in Medium HDL
Ala,85,1.013 [0.897-1.144],1.000,,Alanine
M-VLDL-C,535,1.008 [0.966-1.053],1.000,,Cholesterol in Medium VLDL
LDL-P,552,1.008 [0.967-1.050],1.000,,Concentration of LDL Particles
PC,606,0.993 [0.954-1.034],1.000,,Phosphatidylcholines
Omega-3%,215,0.984 [0.957-1.011],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-PL,590,0.975 [0.935-1.016],1.000,,Phospholipids in HDL
HDL-C,621,0.969 [0.933-1.006],1.000,,HDL Cholesterol
S-HDL-CE,360,0.958 [0.917-1.002],1.000,,Cholesteryl Esters in Small HDL
