Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-size,600,1.056 [0.988-1.129],1.000,,Average Diameter for HDL Particles
XL-HDL-FC,590,1.052 [0.979-1.130],1.000,,Free Cholesterol in Very Large HDL
XL-HDL-CE,664,1.044 [0.973-1.121],1.000,,Cholesteryl Esters in Very Large HDL
S-HDL-CE%,367,1.016 [0.951-1.087],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-TG,472,1.001 [0.911-1.101],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-C,644,0.924 [0.856-0.997],1.000,,VLDL Cholesterol
IDL-L,573,0.920 [0.853-0.993],1.000,,Total-Lipids in IDL
LDL-CE,506,0.881 [0.811-0.957],1.000,,Cholesteryl Esters in LDL
S-HDL-P,416,0.851 [0.772-0.939],1.000,,Concentration of Small HDL Particles
GlycA,385,0.757 [0.675-0.849],0.494,,Glycoprotein Acetyls
