Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.292 [1.199-1.392],3.566e-06,***,Glycoprotein Acetyls
XL-VLDL-TG%,444,1.183 [1.114-1.257],0.013,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-CE%,545,1.158 [1.100-1.220],0.007,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-PL%,508,1.154 [1.099-1.212],0.003,**,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-TG%,609,1.153 [1.097-1.213],0.007,**,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,642,1.148 [1.099-1.198],1.036e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,661,1.144 [1.092-1.197],0.002,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,525,1.142 [1.095-1.191],1.226e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
TG/PG,632,1.142 [1.093-1.193],6.579e-04,***,Triglycerides to Phosphoglycerides ratio
MUFA,654,1.138 [1.084-1.194],0.048,*,Monounsaturated Fatty Acids
VLDL-size,604,1.133 [1.085-1.183],0.003,**,Average Diameter for VLDL Particles
L-VLDL-TG,567,1.130 [1.079-1.184],0.048,*,Triglycerides in Large VLDL
XL-VLDL-TG,570,1.129 [1.079-1.182],0.040,*,Triglycerides in Very Large VLDL
VLDL-TG,582,1.128 [1.080-1.178],0.016,*,Triglycerides in VLDL
XXL-VLDL-FC,557,1.128 [1.079-1.179],0.030,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,687,1.125 [1.079-1.174],0.012,*,Triglycerides in Small VLDL
L-HDL-FC,638,0.910 [0.878-0.942],0.039,*,Free Cholesterol in Large HDL
XL-HDL-P,581,0.909 [0.877-0.942],0.041,*,Concentration of Very Large HDL Particles
L-HDL-C,671,0.908 [0.876-0.941],0.036,*,Cholesterol in Large HDL
XL-HDL-C,653,0.906 [0.873-0.940],0.040,*,Cholesterol in Very Large HDL
XL-HDL-CE,664,0.904 [0.871-0.938],0.018,*,Cholesteryl Esters in Very Large HDL
L-HDL-C%,622,0.888 [0.852-0.926],0.006,**,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,642,0.880 [0.840-0.921],0.010,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,0.879 [0.839-0.920],0.010,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,484,0.874 [0.835-0.915],0.002,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-FC%,574,0.869 [0.827-0.913],0.008,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,0.868 [0.825-0.913],0.008,**,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,597,0.857 [0.815-0.901],5.011e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-FC%,332,0.850 [0.802-0.901],0.014,*,Free Cholesterol to Total-Lipids in IDL percentage
S-LDL-PL%,510,0.845 [0.800-0.893],4.033e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-FC%,687,0.844 [0.804-0.885],9.301e-07,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,371,0.839 [0.790-0.891],0.002,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-FC%,397,0.829 [0.778-0.883],0.002,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,0.828 [0.780-0.879],1.251e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,0.822 [0.774-0.872],1.913e-05,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
