Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-size,600,1.070 [0.985-1.161],1.000,,Average Diameter for HDL Particles
Total-FC,546,1.059 [0.957-1.173],1.000,,Total-Free Cholesterol
S-VLDL-FC,593,1.035 [0.937-1.143],1.000,,Free Cholesterol in Small VLDL
M-LDL-PL%,271,1.033 [0.906-1.178],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-C,621,1.020 [0.926-1.123],1.000,,HDL Cholesterol
LDL-TG,630,0.958 [0.882-1.041],1.000,,Triglycerides in LDL
VLDL-FC,630,0.956 [0.866-1.055],1.000,,Free Cholesterol in VLDL
L-VLDL-PL%,580,0.932 [0.853-1.019],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-TG,681,0.874 [0.798-0.957],1.000,,Triglycerides in Small HDL
S-HDL-L,442,0.845 [0.749-0.953],1.000,,Total-Lipids in Small HDL
