Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-6,651,1.371 [1.202-1.565],0.678,,Omega-6 Fatty Acids
HDL-FC,599,1.240 [1.097-1.402],1.000,,Free Cholesterol in HDL
MUFA,654,1.181 [1.031-1.354],1.000,,Monounsaturated Fatty Acids
S-VLDL-PL,664,1.118 [0.986-1.267],1.000,,Phospholipids in Small VLDL
XL-VLDL-FC%,397,1.081 [0.904-1.292],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,687,0.997 [0.875-1.137],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-TG%,444,0.941 [0.796-1.114],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG%,642,0.928 [0.817-1.054],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,508,0.725 [0.621-0.845],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
Leu,36,0.566 [0.240-1.335],1.000,,Leucine
