Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-CE,607,1.024 [1.003-1.045],1.000,,Cholesteryl Esters in Medium HDL
L-HDL-CE,698,1.013 [0.998-1.028],1.000,,Cholesteryl Esters in Large HDL
XL-VLDL-CE%,485,1.010 [0.989-1.032],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
HDL-size,600,1.007 [0.993-1.021],1.000,,Average Diameter for HDL Particles
S-VLDL-PL%,600,1.006 [0.988-1.023],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-L,573,0.996 [0.978-1.014],1.000,,Total-Lipids in IDL
L-LDL-C,488,0.990 [0.969-1.011],1.000,,Cholesterol in Large LDL
L-HDL-TG%,637,0.987 [0.972-1.003],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
S-VLDL-FC,593,0.977 [0.956-0.998],1.000,,Free Cholesterol in Small VLDL
XXL-VLDL-FC,557,0.971 [0.952-0.990],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
