Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-FC,610,1.490 [1.175-1.889],1.000,,Free Cholesterol in Very Large VLDL
VLDL-L,623,1.395 [1.099-1.772],1.000,,Total-Lipids in VLDL
L-VLDL-TG,567,1.369 [1.065-1.759],1.000,,Triglycerides in Large VLDL
XL-VLDL-CE,617,1.319 [1.045-1.664],1.000,,Cholesteryl Esters in Very Large VLDL
LDL-P,552,1.073 [0.851-1.352],1.000,,Concentration of LDL Particles
IDL-C,568,0.919 [0.727-1.161],1.000,,Cholesterol in IDL
IDL-CE,553,0.904 [0.714-1.146],1.000,,Cholesteryl Esters in IDL
SM,547,0.869 [0.692-1.092],1.000,,Sphingomyelins
XL-VLDL-FC%,397,0.855 [0.615-1.188],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-L,623,0.727 [0.598-0.885],1.000,,Total-Lipids in Large HDL
