Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-PL%,382,1.068 [0.977-1.167],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
HDL-FC,599,1.047 [0.962-1.140],1.000,,Free Cholesterol in HDL
XL-HDL-FC,590,1.017 [0.937-1.105],1.000,,Free Cholesterol in Very Large HDL
XL-HDL-C,653,1.010 [0.934-1.092],1.000,,Cholesterol in Very Large HDL
XXL-VLDL-CE%,176,1.001 [0.851-1.177],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-FC,593,0.761 [0.687-0.843],0.047,*,Free Cholesterol in Small VLDL
LDL-P,552,0.761 [0.687-0.841],0.027,*,Concentration of LDL Particles
M-VLDL-PL,632,0.746 [0.674-0.826],0.005,**,Phospholipids in Medium VLDL
M-VLDL-P,612,0.745 [0.671-0.826],0.007,**,Concentration of Medium VLDL Particles
S-LDL-P,566,0.744 [0.672-0.825],0.004,**,Concentration of Small LDL Particles
M-LDL-PL,492,0.744 [0.668-0.828],0.016,*,Phospholipids in Medium LDL
LDL-PL,473,0.743 [0.666-0.829],0.028,*,Phospholipids in LDL
S-LDL-C,489,0.738 [0.663-0.820],0.005,**,Cholesterol in Small LDL
S-LDL-L,511,0.735 [0.662-0.816],0.002,**,Total-Lipids in Small LDL
M-VLDL-FC,594,0.735 [0.661-0.816],0.002,**,Free Cholesterol in Medium VLDL
M-LDL-C,525,0.730 [0.654-0.814],0.004,**,Cholesterol in Medium LDL
M-LDL-L,531,0.729 [0.654-0.812],0.002,**,Total-Lipids in Medium LDL
M-LDL-P,508,0.726 [0.650-0.812],0.004,**,Concentration of Medium LDL Particles
S-LDL-CE,543,0.725 [0.653-0.806],5.076e-04,***,Cholesteryl Esters in Small LDL
M-LDL-CE,550,0.720 [0.646-0.802],5.849e-04,***,Cholesteryl Esters in Medium LDL
