Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-size,178,1.077 [1.018-1.139],1.000,,Average Diameter for LDL Particles
M-VLDL-FC%,574,1.028 [1.001-1.055],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-P,581,1.027 [1.007-1.048],1.000,,Concentration of Very Large HDL Particles
L-HDL-C%,622,1.020 [0.995-1.047],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-C%,225,1.018 [0.984-1.053],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE,487,0.987 [0.958-1.017],1.000,,Cholesteryl Esters in Medium VLDL
S-LDL-TG,690,0.982 [0.957-1.008],1.000,,Triglycerides in Small LDL
L-VLDL-TG,567,0.981 [0.953-1.011],1.000,,Triglycerides in Large VLDL
MUFA%,525,0.975 [0.951-0.999],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-TG,472,0.969 [0.939-1.000],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
