Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-C,410,1.027 [0.956-1.104],1.000,,Cholesterol in Small HDL
M-LDL-FC%,651,1.023 [0.964-1.087],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,492,1.009 [0.938-1.086],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-TG,604,1.005 [0.959-1.053],1.000,,Triglycerides in Large LDL
S-HDL-P,416,1.001 [0.933-1.075],1.000,,Concentration of Small HDL Particles
L-VLDL-FC%,331,0.980 [0.917-1.046],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-CE%,545,0.976 [0.916-1.038],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-P,622,0.942 [0.882-1.006],1.000,,Concentration of Large VLDL Particles
M-HDL-TG%,657,0.942 [0.893-0.993],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-PL,607,0.936 [0.876-1.001],1.000,,Phospholipids in Very Large VLDL
