Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.081 [1.057-1.105],4.256e-06,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,687,1.068 [1.050-1.087],1.185e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C%,486,1.067 [1.043-1.092],0.004,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.066 [1.043-1.090],0.004,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC%,332,1.063 [1.039-1.087],0.024,*,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,484,1.063 [1.044-1.081],3.477e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,597,1.062 [1.042-1.082],1.135e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,651,1.061 [1.043-1.079],1.588e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC%,609,1.061 [1.042-1.080],2.107e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,644,1.060 [1.042-1.078],8.378e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,1.058 [1.038-1.078],9.564e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,1.058 [1.039-1.077],1.035e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,642,1.057 [1.039-1.075],4.630e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,574,1.052 [1.033-1.072],0.021,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,578,1.050 [1.034-1.067],1.602e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-C%,632,1.049 [1.032-1.066],0.003,**,Cholesterol to Total-Lipids in Medium HDL percentage
DHA%,240,1.045 [1.029-1.061],0.009,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-FC,590,1.043 [1.027-1.059],0.012,*,Free Cholesterol in Very Large HDL
Unsaturation,310,1.039 [1.026-1.052],0.001,**,Degree of Unsaturation
L-HDL-TG%,637,0.958 [0.944-0.973],0.015,*,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG%,635,0.958 [0.943-0.973],0.014,*,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG%,657,0.957 [0.943-0.972],0.002,**,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,580,0.956 [0.941-0.971],0.002,**,Phospholipids to Total-Lipids in Large VLDL percentage
S-VLDL-TG,687,0.955 [0.939-0.972],0.025,*,Triglycerides in Small VLDL
S-HDL-TG,681,0.954 [0.938-0.969],0.003,**,Triglycerides in Small HDL
S-LDL-TG%,594,0.953 [0.939-0.969],7.218e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
S-LDL-CE%,545,0.953 [0.937-0.970],0.023,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-TG,641,0.953 [0.936-0.970],0.044,*,Total-Triglycerides
XL-VLDL-CE,617,0.953 [0.936-0.970],0.028,*,Cholesteryl Esters in Very Large VLDL
L-VLDL-C,622,0.953 [0.936-0.970],0.039,*,Cholesterol in Large VLDL
VLDL-size,604,0.950 [0.934-0.967],0.001,**,Average Diameter for VLDL Particles
XL-VLDL-C,639,0.950 [0.933-0.967],0.004,**,Cholesterol in Very Large VLDL
L-VLDL-L,609,0.949 [0.931-0.967],0.015,*,Total-Lipids in Large VLDL
M-VLDL-TG%,609,0.948 [0.931-0.966],0.006,**,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-P,622,0.948 [0.931-0.965],0.003,**,Concentration of Large VLDL Particles
S-HDL-TG%,677,0.947 [0.933-0.962],1.367e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-FC,648,0.947 [0.930-0.965],0.002,**,Free Cholesterol in Large VLDL
VLDL-TG,582,0.947 [0.929-0.965],0.004,**,Triglycerides in VLDL
XL-VLDL-FC,610,0.947 [0.930-0.964],9.074e-04,***,Free Cholesterol in Very Large VLDL
XS-VLDL-TG%,661,0.946 [0.931-0.963],4.330e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,489,0.946 [0.927-0.965],0.006,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,642,0.946 [0.930-0.961],9.747e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-L,578,0.945 [0.928-0.963],0.001,**,Total-Lipids in Very Large VLDL
XXL-VLDL-C,589,0.945 [0.929-0.962],1.491e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-PL,637,0.945 [0.928-0.962],1.255e-04,***,Phospholipids in Large VLDL
MUFA%,525,0.945 [0.930-0.960],6.869e-07,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-P,599,0.944 [0.926-0.961],1.484e-04,***,Concentration of Very Large VLDL Particles
XXL-VLDL-P,529,0.943 [0.926-0.961],2.081e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-FC,557,0.943 [0.925-0.960],5.938e-05,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,607,0.942 [0.925-0.960],5.573e-05,***,Phospholipids in Very Large VLDL
XXL-VLDL-CE,621,0.942 [0.926-0.959],1.974e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,0.940 [0.922-0.958],7.355e-05,***,Triglycerides in Very Large VLDL
XXL-VLDL-PL,556,0.938 [0.921-0.956],3.078e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,514,0.937 [0.919-0.955],7.073e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,472,0.936 [0.918-0.955],1.804e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
TG/PG,632,0.936 [0.920-0.952],3.764e-08,***,Triglycerides to Phosphoglycerides ratio
XS-VLDL-PL%,375,0.918 [0.898-0.940],6.400e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
