Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-CE,611,1.366 [1.084-1.721],1.000,,Cholesteryl Esters in HDL
S-VLDL-PL%,600,1.230 [0.967-1.565],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-P,598,1.115 [0.862-1.442],1.000,,Concentration of Medium HDL Particles
Omega-3,420,1.113 [0.938-1.319],1.000,,Omega-3 Fatty Acids
SM,547,1.015 [0.793-1.300],1.000,,Sphingomyelins
S-HDL-P,416,0.996 [0.734-1.351],1.000,,Concentration of Small HDL Particles
XL-VLDL-FC%,397,0.795 [0.582-1.087],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG,489,0.793 [0.653-0.961],1.000,,Triglycerides in Very Large HDL
M-LDL-CE,550,0.725 [0.559-0.940],1.000,,Cholesteryl Esters in Medium LDL
LA,635,0.525 [0.410-0.673],0.083,,Linoleic Acid
